years,z_median,z_mean,absImedian,absImean,normalizer,normIMedian,normIMean,gamma_mean,M_med,M_mean
TERROR2007_2011,2.0,2.889324006203211,212.5,278.0221518987342,49860,0.004261933413557962,0.005576055994760012,0.07831684906113254,0.12034094527903469,0.1376491872978451
TERROR2008_2012,2.0,2.8857814867822866,252.5,292.17455621301775,52920,0.0047713529856386995,0.0055210611529292845,0.08351880483803659,0.13989226677448954,0.150481881529353
TERROR2009_2013,2.0,2.901708759912822,276.0,391.84225352112674,55080,0.005010893246187364,0.007114056890361778,0.08189872999267844,0.14342024283506327,0.17088799141628475
TERROR2010_2014,2.0,3.4445803286902223,383.5,450.64659685863876,59400,0.006456228956228956,0.007586643044758228,0.0736874998445831,0.15210911899714824,0.16488859395321215
TERROR2011_2015,3.0,3.9700638136494297,445.0,612.5241379310345,67410,0.006601394451861742,0.009086547069144555,0.07343732526900416,0.16329602058450493,0.19158310154337557
TERROR2012_2016,1.0,1.8889020798146199,3748.5,3932.2329545454545,82440,0.04546943231441048,0.04769811929337039,0.14222642713392844,0.9178840075742264,0.9401099837644452
