rank,code
29,78
28,352
27,1525
26,4908
25,13159
24,29776
23,56666
22,87398
21,133999
20,162254
19,168786
18,217177
17,297857
16,309345
15,365330
14,380570
13,382736
12,436109
11,441969
10,473590
9,496181
8,517298
7,536290
6,615425
5,664671
4,768660
