rank,code
29,54
28,272
27,954
26,3158
25,8081
24,19410
23,37895
22,60281
21,92455
20,108176
19,110760
18,137914
17,246161
16,255976
15,260537
14,265727
13,288119
12,308696
11,321534
10,329563
9,378382
8,380877
7,409238
6,456908
5,488240
4,522095
