variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
1.40816#2.4898#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0682726826619965,0.026002499999999998,0.35833807369668247,0.4914795,204,422
18.71429#19.79592#79.91837#81.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.11311793208645055,0.0219726,0.024797704623513866,0.014557800000000001,187,757
42.5102#43.59184#47.26531#49.30612#Bombing_Explosion-Facility_Infrastructure_Attack,0.1296810189047262,0.0220239,0.08021707621550592,0.0322953,184,761
30.61224#31.69388#65.63265#67.67347#Bombing_Explosion-Facility_Infrastructure_Attack,0.11222372754820936,0.01916735,0.04569545426573426,0.019047400000000003,189,715
34.93878#36.02041#69.71429#71.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.06809204743682311,0.021847099999999998,0.08563625975609758,0.0265458,203,246
-4.0#-2.91837#28.89796#30.93878#Bombing_Explosion-Facility_Infrastructure_Attack,0.06603172238614496,0.023955900000000002,0.08961207137096774,0.05236085,192,496
33.85714#34.93878#61.55102#63.59184#Bombing_Explosion-Facility_Infrastructure_Attack,0.09639103683319222,0.021339700000000003,0.04208907634584013,0.017518000000000002,182,613
33.85714#34.93878#69.71429#71.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.10930023979963568,0.02158545,0.04778165413961039,0.024467899999999997,184,1232
25.20408#26.28571#49.30612#51.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.08906678112560054,0.056790099999999996,0.3378867612565445,0.49111099999999996,202,191
11.14286#12.22449#12.57143#14.61224#Bombing_Explosion-Facility_Infrastructure_Attack,0.10864806142011835,0.06032604999999999,0.34492896666666667,0.4959515,210,48
-4.0#-2.91837#28.89796#30.93878#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07099592474114443,0.0337084,0.0969065770949721,0.05249259999999999,199,179
33.85714#34.93878#35.02041#37.06122#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06639355494003427,0.0293428,0.08780686078431373,0.037401300000000005,186,255
30.61224#31.69388#65.63265#67.67347#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.109508026875,0.020606150000000004,0.08440769086021506,0.01657025,180,744
31.69388#32.77551#35.02041#37.06122#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0664399851575456,0.01887535,0.04944961170886076,0.0214491,171,632
