variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
17.63265#18.71429#79.91837#81.95918#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06373973899176955,0.01888735,0.04989603815580286,0.0175822,208,629
34.93878#36.02041#43.18367#45.22449#Bombing_Explosion-Facility_Infrastructure_Attack,0.056538187392550135,0.0208235,0.07429293454075032,0.027268900000000002,212,2319
33.85714#34.93878#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.054322627474817656,0.0211436,0.08015691751007613,0.0267947,214,2233
31.69388#32.77551#65.63265#67.67347#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.05583428219722038,0.018756799999999997,0.07102939429735233,0.016921400000000003,206,491
31.69388#32.77551#18.69388#20.73469#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.12988563528773073,0.0576893,0.05561622734877735,0.0270112,218,1554
36.02041#37.10204#67.67347#69.71429#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07405154005602242,0.019706400000000002,0.029891627041742287,0.017603599999999997,218,551
30.61224#31.69388#32.97959#35.02041#Bombing_Explosion-Facility_Infrastructure_Attack,0.08005776794731065,0.0215377,0.06670971051779936,0.0202121,210,1236
33.85714#34.93878#35.02041#37.06122#Bombing_Explosion-Facility_Infrastructure_Attack,0.12875733343124166,0.0337254,0.03419436899618806,0.020873,208,1574
31.69388#32.77551#63.59184#65.63265#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.09041239758928572,0.0213567,0.06884374913892079,0.0176447,218,871
32.77551#33.85714#69.71429#71.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.05954955386961495,0.0246179,0.06849383534348773,0.0301525,212,3217
36.02041#37.10204#67.67347#69.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.08009040012330457,0.01995875,0.02948027303867403,0.0169639,211,905
42.5102#43.59184#8.4898#10.53061#Bombing_Explosion-Facility_Infrastructure_Attack,0.0575727633382281,0.0266283,0.46983209459459463,0.496641,218,296
40.34694#41.42857#28.89796#30.93878#Bombing_Explosion-Facility_Infrastructure_Attack,0.05440875116279069,0.019130599999999998,0.09551954712041884,0.0229927,203,573
33.85714#34.93878#61.55102#63.59184#Bombing_Explosion-Facility_Infrastructure_Attack,0.06204475409705648,0.0185517,0.05530094086538462,0.01714535,211,624
