,mn,U,L
s1,116.45034985390984,116.72767970365912,116.17302000416053
s2,117.62129206233622,117.92859739551362,117.3139867291588
s3,158.11880303237936,158.70624602122905,157.53136004352962
s4,145.75759186002728,146.54059059036518,144.9745931296893
s5,112.54693805347148,112.91476698561523,112.1791091213277
s6,97.93356444067595,98.88969486009982,96.97743402125205
s7,108.32636885730784,108.88884772867378,107.76388998594187
s8,99.34623512459929,100.34618580696547,98.34628444223308
s9,116.52131426929817,117.16632063106448,115.87630790753184
s10,112.30273698522149,112.9497880571841,111.65568591325885
s11,108.48481828297791,109.55389474673379,107.415741819222
s12,98.35188353748542,98.84923371375402,97.8545333612168
s13,123.7486468254182,124.20419521648233,123.29309843435405
s14,117.98719366553709,118.7059831855609,117.26840414551326
s15,109.43740379315597,110.00031136569231,108.87449622061959
s16,116.885537307316,117.640035712458,116.13103890217397
s17,121.9576412363648,122.51385793904221,121.40142453368735
s18,106.54412761274916,106.99844779469383,106.08980743080447
s19,100.62767703257214,100.88857901088662,100.36677505425763
s20,117.80741107415415,118.37472001050433,117.24010213780393
s21,111.05534520176516,111.57019267682952,110.54049772670078
s22,123.41248499979507,123.95928252480684,122.86568747478327
s23,122.31949157646822,123.42875651034781,121.21022664258861
s24,146.46582806589578,147.55336157968176,145.37829455210976
s25,123.09520072322147,123.90472381517355,122.28567763126935
s26,108.58466118614572,109.33960482474623,107.82971754754519
s27,125.26167150711991,125.76895544418838,124.75438757005142
s28,122.1128251263665,122.73440723321916,121.49124301951382
s29,114.61454514309784,115.03873383972319,114.19035644647246
s30,114.92863173253535,115.05516390696083,114.80209955810984
