,mn,U,L
s1,119.40837491559361,120.31775548359519,118.49899434759209
s2,127.50911255683826,128.42099049524967,126.59723461842691
s3,165.2662220854874,166.48021821858774,164.05222595238715
s4,155.8248555103371,156.88823391299536,154.7614771076789
s5,131.39533799125974,132.11376661307077,130.6769093694488
s6,125.21266082538659,125.85232478561093,124.57299686516234
s7,133.4753147457879,134.22893284722426,132.72169664435157
s8,125.11627720408202,125.68043791007409,124.55211649808999
s9,124.69091481569663,125.22327746913743,124.15855216225589
s10,161.64826511960692,162.74102880549594,160.55550143371795
s11,147.69915343660105,148.67128430252092,146.7270225706812
s12,127.02640890208792,127.62130755307166,126.43151025110423
s13,129.1668815216538,129.73366413907073,128.60009890423694
s14,136.12983812519857,136.93385181077002,135.3258244396272
s15,127.97993434821517,128.52073527498675,127.43913342144366
s16,139.4413596606945,140.3794735941093,138.5032457272798
s17,156.18974163065434,157.27599625673443,155.10348700457433
s18,145.85836474317438,146.7425913515383,144.97413813481046
s19,133.76497720455666,134.43101442177684,133.09893998733654
s20,133.19674122957974,133.96737379194178,132.42610866721773
s21,134.1711282908586,134.92923706149293,133.41301952022434
s22,125.87439104713008,126.4968883250423,125.25189376921787
s23,128.65095569866057,129.40319534815364,127.89871604916753
s24,144.2943519124742,145.23932749478018,143.3493763301683
s25,140.27940909943527,141.20177585247546,139.35704234639513
s26,132.63416131222925,133.60278494022091,131.66553768423765
s27,135.44700805729852,136.2738247065612,134.6201914080359
s28,137.14786543949793,138.10362589282494,136.19210498617102
s29,136.73406536320888,137.54200212385615,135.92612860256168
s30,139.70026662300893,140.57506883020375,138.8254644158141
