,mn,U,L
s1,103.95424445711114,104.37272524351368,103.53576367070866
s2,115.93006347530905,116.49310069537123,115.36702625524694
s3,143.38478854772035,143.96068709462918,142.80889000081157
s4,132.3197492986824,132.74263973684245,131.89685886052243
s5,119.33326382189716,119.85639299493886,118.8101346488555
s6,116.06649974468436,116.5509544334924,115.58204505587636
s7,118.57711122237403,118.9562768557064,118.19794558904171
s8,113.30185412743718,113.65164418521165,112.95206406966277
s9,111.81854364855688,112.31281805781455,111.32426923929926
s10,129.8209733645341,130.32762725904712,129.31431947002108
s11,137.63585933306157,138.36965958984024,136.90205907628297
s12,114.7161802381182,115.39662934239009,114.03573113384638
s13,117.92839374183302,118.72025171662874,117.13653576703736
s14,114.03329147174672,114.39315444560297,113.67342849789053
s15,117.45987988170234,117.8146683346184,117.10509142878631
s16,114.53550854659986,114.9143541911101,114.15666290208966
s17,130.7255404429163,131.1673756353519,130.28370525048075
s18,129.20031725679317,129.58260576835227,128.81802874523413
s19,112.90199354865243,113.24010671647747,112.56388038082743
s20,114.59179767566653,114.93058631672739,114.2530090346057
s21,126.53286094049669,127.19574517463661,125.86997670635682
s22,123.32448362718878,123.85616395336594,122.79280330101167
s23,117.10302948460138,117.7183241416245,116.48773482757831
s24,123.40481539270831,123.82692511370146,122.98270567171521
s25,125.0909269593874,125.60040360062321,124.58145031815165
s26,119.67256968082789,120.379559093377,118.96558026827886
s27,118.67824886314797,119.1279316387562,118.2285660875398
s28,119.98525853193607,120.54198677801563,119.42853028585657
s29,120.07699341639255,120.51148869621294,119.64249813657221
s30,120.23953398002145,120.65143147162381,119.82763648841913
