,mn,U,L
s1,60.157572042850376,62.280237893040464,58.034906192660316
s2,63.9352576369632,65.81721816988428,62.05329710404216
s3,83.98263204383426,86.4690541078132,81.49620997985537
s4,78.68220122509199,80.89481085178085,76.46959159840316
s5,69.1865567781107,70.88655841177227,67.48655514444914
s6,63.99401060910729,65.462855477639,62.525165740575616
s7,65.21208001092728,66.59826990858356,63.825890113271015
s8,63.05279351704571,64.12426423966534,61.9813227944261
s9,58.306770026823955,59.43325465379242,57.18028539985552
s10,79.71877245671102,81.67866239143058,77.75888252199151
s11,73.450984563909,75.19052086518359,71.71144826263446
s12,64.93477251738318,66.58506683236493,63.284478202401445
s13,66.6840004556956,67.94385694628407,65.42414396510713
s14,74.18195363772708,76.10285946806415,72.26104780739001
s15,71.18454315470746,72.75612550405586,69.61296080535905
s16,75.51570875207507,77.6582531654787,73.37316433867147
s17,84.37119575466401,86.98361550871165,81.75877600061641
s18,78.29914160832976,80.42330251240372,76.17498070425582
s19,73.29924990336139,75.05048358955472,71.54801621716808
s20,73.55908544459618,75.2373449952999,71.88082589389248
s21,75.61309991563833,77.70216536459063,73.52403446668603
s22,63.942039384544216,65.1832435522714,62.70083521681705
s23,60.326620772616394,61.86442711183916,58.78881443339365
s24,70.22884859909834,71.95768427528287,68.50001292291385
s25,67.02329886812436,68.58863639181459,65.45796134443412
s26,68.45191972111951,70.202375624692,66.70146381754702
s27,69.70328652285221,71.44771971823047,67.95885332747397
s28,72.32682217142042,74.39913003465853,70.25451430818232
s29,65.50262672102238,67.13562049832629,63.86963294371849
s30,66.65670290827588,68.85163452769967,64.4617712888521
