,mn,U,L
s1,4.373106557937188,5.411071035663125,3.3351420802112512
s2,5.386559102117925,5.78640588711013,4.98671231712572
s3,5.463207573546274,6.320224616983931,4.606190530108617
s4,5.15859428631331,6.3498691370476985,3.967319435578921
s5,5.375699208316926,6.510620666590563,4.24077775004329
s6,5.684319978997965,7.690365288330558,3.678274669665371
s7,6.263971914364186,8.10606344268483,4.421880386043542
s8,6.1046689240089975,7.461995392868801,4.747342455149194
s9,6.165600469753903,7.697134592914848,4.634066346592958
s10,6.651732413893401,7.890257846679743,5.413206981107059
s11,6.299895527870389,7.665746950519291,4.934044105221488
s12,6.3118603350857105,7.971975624437403,4.651745045734018
s13,5.952831473062,7.4742217440994105,4.4314412020245895
s14,5.420874462505402,7.005741249627627,3.836007675383178
s15,5.578057625254843,7.297372144451466,3.8587431060582196
s16,5.518731966735502,7.034117339592419,4.003346593878585
s17,4.984790575226116,6.7784676053507065,3.1911135451015253
s18,4.977006714550772,6.755056099054941,3.1989573300466025
s19,4.925590506064509,6.7093942255838215,3.1417867865451967
s20,5.240868918458993,6.94517936776535,3.5365584691526366
s21,5.2003893678661175,6.952748519360064,3.448030216372171
s22,4.88108334062362,6.5831853760851,3.1789813051621403
s23,4.697026920535264,6.5614278528977685,2.83262598817276
s24,4.698257558588705,6.494567136112822,2.9019479810645876
s25,4.884905022788881,6.79577386144225,2.974036184135512
s26,4.566496379075808,6.524087485339775,2.6089052728118407
s27,4.569188686768115,6.528443857915927,2.6099335156203027
s28,4.569188686768115,6.528443857915927,2.6099335156203027
s29,4.569188686768115,6.528443857915927,2.6099335156203027
s30,4.569188686768115,6.528443857915927,2.6099335156203027
