,mn,U,L
s1,4.373106557937188,5.170090163641793,3.5761229522325837
s2,5.386559102117925,5.693574745977582,5.079543458258268
s3,5.463207573546274,6.121253728387413,4.8051614187051355
s4,5.15859428631331,6.073294689166781,4.2438938834598385
s5,5.375699208316926,6.2471296044593245,4.504268812174528
s6,5.684319978997965,7.224628205481261,4.144011752514668
s7,6.263971914364186,7.678390981474624,4.849552847253748
s8,6.1046689240089975,7.146869275258218,5.062468572759777
s9,6.165600469753903,7.341563244906539,4.989637694601266
s10,6.651732413893401,7.602713383243629,5.700751444543173
s11,6.299895527870389,7.3486416218257435,5.251149433915035
s12,6.3118603350857105,7.586552000923431,5.03716866924799
s13,5.952831473062,7.121005461589818,4.784657484534182
s14,5.420874462505402,6.637787828682904,4.203961096327901
s15,5.578057625254843,6.898204426281888,4.257910824227798
s16,5.518731966735502,6.6822951949661435,4.355168738504861
s17,4.984790575226116,6.362035382360714,3.607545768091517
s18,4.977006714550772,6.342252096249807,3.6117613328517373
s19,4.925590506064509,6.295254257339012,3.5559267547900064
s20,5.240868918458993,6.5494950962103875,3.9322427407075993
s21,5.2003893678661175,6.545908935266827,3.8548698004654076
s22,4.88108334062362,6.188013824864544,3.574152856382696
s23,4.697026920535264,6.128575889155778,3.2654779519147503
s24,4.698257558588705,6.0775237230661485,3.3189913941112614
s25,4.884905022788881,6.35213359345741,3.4176764521203524
s26,4.566496379075808,6.069599858863165,3.063392899288451
s27,4.569188686768115,6.073569890851161,3.064807482685069
s28,4.569188686768115,6.073569890851161,3.064807482685069
s29,4.569188686768115,6.073569890851161,3.064807482685069
s30,4.569188686768115,6.073569890851161,3.064807482685069
