,mn,U,L
s1,296.63817678121103,299.4034357539182,293.8729178085041
s2,303.6140519669844,306.5327503238536,300.6953536101154
s3,436.61191699642916,440.4300006807662,432.7938333120923
s4,417.15984998805044,420.9436819723344,413.37601800376666
s5,315.5915766999358,318.7597089012484,312.4234444986234
s6,310.63220471002745,313.6777888112379,307.58662060881716
s7,325.51729521557434,328.5601511101217,322.4744393210272
s8,312.62964275313055,315.64002991624,309.6192555900213
s9,302.771056793426,305.789304054615,299.7528095322372
s10,423.06627841590443,426.65367626347836,419.4788805683307
s11,347.8126126391923,351.38647460319936,344.2387506751855
s12,322.18760351010457,324.88890545105716,319.48630156915215
s13,328.8976088094418,331.57712469548386,326.2180929234
s14,324.82640942009795,328.10017619605185,321.5526426441442
s15,322.1115315903852,324.9562601416842,319.26680303908637
s16,343.29365089899875,346.4529939520311,340.1343078459666
s17,423.9011501633378,427.07892905257796,420.72337127409776
s18,356.4025020041184,359.56756429353374,353.2374397147032
s19,344.28659611932557,347.00198768539815,341.57120455325315
s20,368.3423098086623,371.00950608825576,365.67511352906916
s21,339.7570683092632,342.8421187273642,336.6720178911625
s22,319.1984921300769,322.38532925310983,316.0116550070442
s23,310.3308572309,313.8436669504278,306.81804751137247
s24,359.47829597827246,362.93686486929806,356.0197270872471
s25,349.99794024493514,353.4970000286689,346.4988804612017
s26,322.7172649548292,325.8510557453445,319.58347416431417
s27,321.52098095570375,324.4132953643237,318.62866654708404
s28,326.1490944232043,329.28917198587015,323.0090168605387
s29,353.89618368797437,357.0271725478848,350.76519482806424
s30,368.0401408658503,371.43181433917795,364.64846739252283
