,mn,U,L
s1,320.4417139564033,325.008487040425,315.8749408723816
s2,324.03115358896565,328.78579718231055,319.2765099956207
s3,412.6377167209579,418.96477631198417,406.3106571299316
s4,383.2008325552371,388.8297977163519,377.5718673941223
s5,351.5414630945447,356.62595323982185,346.4569729492676
s6,337.31204028278245,342.664980497379,331.95910006818576
s7,337.6095146809349,342.64101084531364,332.5780185165562
s8,331.4165258857455,336.3392935324533,326.4937582390376
s9,320.86749123025527,325.991617433722,315.7433650267885
s10,382.26878496199646,388.4012803111384,376.13628961285445
s11,388.18881224005673,394.281456393761,382.09616808635246
s12,338.6090829868516,343.87298261980783,333.3451833538953
s13,334.95236682368926,339.78066978952256,330.12406385785596
s14,341.21515528559684,346.2951794962359,336.1351310749577
s15,337.5557693833102,342.34594424763156,332.7655945189888
s16,342.3297271070297,346.9360446045733,337.72340960948617
s17,369.67350472377956,374.80600503742033,364.5410044101388
s18,368.95797719305546,374.34168223359285,363.574272152518
s19,351.2129449919404,356.04632536002754,346.37956462385324
s20,343.20453378393427,347.7948113315076,338.6142562363609
s21,356.39957678772265,361.4901110669041,351.30904250854115
s22,352.8046573007882,358.0298749337315,347.5794396678449
s23,361.2419740832902,366.33003169829,356.1539164682903
s24,385.54151762661127,390.9636425046219,380.1193927486006
s25,358.89780946148915,364.38852072764223,353.40709819533606
s26,359.1093200363252,364.74862805886505,353.4700120137853
s27,343.82019673379335,349.1634711217217,338.47692234586486
s28,337.696429816692,343.126632947534,332.2662266858499
s29,336.22970504063267,341.47395768910576,330.9854523921596
s30,339.2168197935349,344.3462041851808,334.0874354018889
