,mn,U,L
s1,113.35045431245271,118.35418011337129,108.34672851153402
s2,123.49383672879091,129.0804914840093,117.90718197357243
s3,157.58177392197837,165.01902572985094,150.14452211410565
s4,144.77165558813263,150.85192560948758,138.69138556677757
s5,132.66951293561527,138.97457035892336,126.36445551230712
s6,126.40480255288372,132.29603580128085,120.51356930448652
s7,132.06393840191114,138.56462857422332,125.56324822959883
s8,126.05330849195605,131.8188061570959,120.28781082681608
s9,122.92301419443538,128.39682458271773,117.44920380615295
s10,148.47666885759122,155.58623676035404,141.3671009548283
s11,153.05609947153613,161.747439894475,144.36475904859714
s12,130.9569265809956,137.66948176279024,124.24437139920086
s13,132.17964772262633,138.4973450180401,125.86195042721249
s14,132.10744510813,137.9365783291026,126.27831188715733
s15,136.53479898302766,142.82803839187295,130.24155957418225
s16,125.91917706796784,131.46343699445632,120.37491714147927
s17,147.87859241635704,154.60997467149429,141.14721016121973
s18,145.3073568158424,152.26317108807817,138.35154254360657
s19,129.91978732274112,135.33688216719884,124.50269247828332
s20,131.62815992102867,136.87912120683325,126.37719863522398
s21,143.22522091292313,149.93645555571993,136.51398627012622
s22,135.1825987733978,141.1657908352745,129.19940671152105
s23,126.77404271574605,132.66140956238337,120.88667586910864
s24,137.826179538085,144.41489493449745,131.2374641416725
s25,135.61772843116856,142.46131110832414,128.77414575401286
s26,130.28388806927273,136.53914737474457,124.02862876380081
s27,131.0988348439547,137.15585636664613,125.04181332126316
s28,131.93043959614891,137.8346739751006,126.02620521719713
s29,130.05436406591184,135.8880540587731,124.22067407305049
s30,132.00817183469468,138.54499559306606,125.47134807632325
