,mn,U,L
s1,60.157572042850376,61.78742539457289,58.52771869112789
s2,63.9352576369632,65.3802894501976,62.490225823728835
s3,83.98263204383426,85.89178949996894,82.07347458769962
s4,78.68220122509199,80.38111639621485,76.98328605396915
s5,69.1865567781107,70.4918745040773,67.88123905214411
s6,63.99401060910729,65.12183849210754,62.866182726107056
s7,65.21208001092728,66.27644266160857,64.147717360246
s8,63.05279351704571,63.87550433060959,62.230082703481855
s9,58.306770026823955,59.17172234363068,57.44181771001726
s10,79.71877245671102,81.22364105335039,78.21390386007168
s11,73.450984563909,74.7866583209544,72.11531080686365
s12,64.93477251738318,66.20192331286083,63.66762172190554
s13,66.6840004556956,67.65136011981377,65.71664079157745
s14,74.18195363772708,75.65688894402496,72.7070183314292
s15,71.18454315470746,72.39125628827205,69.97783002114286
s16,75.51570875207507,77.16082552497059,73.87059197917958
s17,84.37119575466401,86.37709842269787,82.36529308663017
s18,78.29914160832976,79.93014291208789,76.66814030457165
s19,73.29924990336139,74.64390530111791,71.95459450560486
s20,73.55908544459618,74.8477088770266,72.27046201216578
s21,75.61309991563833,77.21715376313284,74.00904606814385
s22,63.942039384544216,64.8950771755658,62.989001593522644
s23,60.326620772616394,61.507399563615415,59.14584198161739
s24,70.22884859909834,71.55630606074001,68.9013911374567
s25,67.02329886812436,68.22521701710437,65.82138071914434
s26,68.45191972111951,69.79597791154293,67.10786153069608
s27,69.70328652285221,71.04272027785828,68.36385276784617
s28,72.32682217142042,73.91800898794034,70.7356353549005
s29,65.50262672102238,66.75649358897167,64.2487598530731
s30,66.65670290827588,68.3420443181823,64.97136149836946
