,mn,U,L
s1,103.95424445711114,105.52288696425987,102.38560194996245
s2,115.93006347530905,118.04056447127785,113.81956247934029
s3,143.38478854772035,145.54349922175692,141.22607787368378
s4,132.3197492986824,133.90492104065692,130.73457755670796
s5,119.33326382189716,121.29417262398833,117.372355019806
s6,116.06649974468436,117.88244026655296,114.25055922281578
s7,118.57711122237403,119.99838395225994,117.15583849248814
s8,113.30185412743718,114.6130148091972,111.9906934456772
s9,111.81854364855688,113.67129262473476,109.96579467237902
s10,129.8209733645341,131.72012587324954,127.92182085581864
s11,137.63585933306157,140.38645222033568,134.88526644578747
s12,114.7161802381182,117.26679050170489,112.16556997453154
s13,117.92839374183302,120.89661144560705,114.96017603805902
s14,114.03329147174672,115.38220969184601,112.68437325164746
s15,117.45987988170234,118.7897766568301,116.12998310657458
s16,114.53550854659986,115.95558182340568,113.11543526979405
s17,130.7255404429163,132.38172511501747,129.06935577081515
s18,129.20031725679317,130.63329585153647,127.76733866204987
s19,112.90199354865243,114.1693843214438,111.63460277586105
s20,114.59179767566653,115.86172040706771,113.32187494426535
s21,126.53286094049669,129.01763066177708,124.04809121921632
s22,123.32448362718878,125.31744575820032,121.33152149617725
s23,117.10302948460138,119.40941339705076,114.79664557215202
s24,123.40481539270831,124.98706067742644,121.82257010799019
s25,125.0909269593874,127.00066031348483,123.18119360529
s26,119.67256968082789,122.32266421482612,117.02247514682968
s27,118.67824886314797,120.36384958717537,116.9926481391206
s28,119.98525853193607,122.07211083222475,117.89840623164739
s29,120.07699341639255,121.7056649999575,118.4483218328276
s30,120.23953398002145,121.78349952135433,118.69556843868857
