,mn,U,L
s1,103.95424445711114,105.15870028217742,102.74978863204487
s2,115.93006347530905,117.55057624786127,114.30955070275684
s3,143.38478854772035,145.0423183125501,141.7272587828906
s4,132.3197492986824,133.53689681932565,131.10260177803917
s5,119.33326382189716,120.83891473874976,117.82761290504452
s6,116.06649974468436,117.4608392003416,114.67216028902712
s7,118.57711122237403,119.6684116370431,117.48581080770495
s8,113.30185412743718,114.30860685378926,112.29510140108509
s9,111.81854364855688,113.24114585815738,110.39594143895637
s10,129.8209733645341,131.27920574787643,128.36274098119173
s11,137.63585933306157,139.74785592270206,135.5238627434211
s12,114.7161802381182,116.67462352615259,112.75773695008382
s13,117.92839374183302,120.20748989476967,115.64929758889637
s14,114.03329147174672,115.06903569028752,112.99754725320592
s15,117.45987988170234,118.4810188029286,116.43874096047607
s16,114.53550854659986,115.62588798134992,113.4451291118498
s17,130.7255404429163,131.99721405025952,129.45386683557305
s18,129.20031725679317,130.300605823352,128.10002869023435
s19,112.90199354865243,113.87513828492413,111.92884881238069
s20,114.59179767566653,115.5668865338669,113.61670881746612
s21,126.53286094049669,128.44074967301896,124.62497220797442
s22,123.32448362718878,124.85474615475256,121.79422109962499
s23,117.10302948460138,118.87394766737982,115.33211130182292
s24,123.40481539270831,124.61971588225734,122.18991490315926
s25,125.0909269593874,126.5572836672947,123.62457025148011
s26,119.67256968082789,121.70740029641051,117.63773906524527
s27,118.67824886314797,119.97250909231964,117.38398863397629
s28,119.98525853193607,121.58761305036899,118.38290401350314
s29,120.07699341639255,121.32754156041196,118.82644527237315
s30,120.23953398002145,121.42504201100056,119.05402594904231
