,mn,U,L
s1,116.45034985390984,117.24855030623362,115.65214940158609
s2,117.62129206233622,118.50576683548256,116.73681728918991
s3,158.11880303237936,159.80955958036063,156.42804648439812
s4,145.75759186002728,148.01118966527497,143.50399405477958
s5,112.54693805347148,113.60560959669102,111.48826651025196
s6,97.93356444067595,100.68546343010883,95.1816654512431
s7,108.32636885730784,109.94527461142248,106.70746310319323
s8,99.34623512459929,102.22425596399935,96.46821428519925
s9,116.52131426929817,118.3777475749052,114.66488096369117
s10,112.30273698522149,114.16505529961876,110.44041867082424
s11,108.48481828297791,111.56179437375955,105.4078421921963
s12,98.35188353748542,99.78333830522784,96.92042876974303
s13,123.7486468254182,125.05978925069799,122.43750440013845
s14,117.98719366553709,120.05598691129573,115.91840041977848
s15,109.43740379315597,111.05754341902447,107.81726416728749
s16,116.885537307316,119.05710653726487,114.71396807736716
s17,121.9576412363648,123.5585234496156,120.35675902311401
s18,106.54412761274916,107.85173505225086,105.2365201732475
s19,100.62767703257214,101.37859539671884,99.87675866842547
s20,117.80741107415415,119.44021854154866,116.17460360675966
s21,111.05534520176516,112.53716004371466,109.57353035981569
s22,123.41248499979507,124.98625728643671,121.83871271315346
s23,122.31949157646822,125.51213662628889,119.12684652664758
s24,146.46582806589578,149.59592655116876,143.33572958062285
s25,123.09520072322147,125.42513995892523,120.76526148751773
s26,108.58466118614572,110.75751187046491,106.41181050182658
s27,125.26167150711991,126.72171725549748,123.80162575874238
s28,122.1128251263665,123.90183961324803,120.32381063948499
s29,114.61454514309784,115.83542926293953,113.39366102325619
s30,114.92863173253535,115.29281192789206,114.56445153717867
