,mn,U,L
s1,121.06707635528414,126.33996648640783,115.79418622416046
s2,132.66496011006208,138.48031133536065,126.84960888476348
s3,174.63406641935413,182.48037812161522,166.787754717093
s4,162.91186526794652,170.21192311317148,155.61180742272157
s5,142.0791095664992,148.62492611080498,135.53329302219342
s6,139.36191002420827,146.0046167168274,132.71920333158914
s7,140.669868511003,146.9550162812667,134.38472074073923
s8,138.62862885341045,145.06590494288687,132.19135276393405
s9,132.85132908263228,138.7730052748654,126.92965289039915
s10,171.39616449318538,179.0130254301279,163.77930355624287
s11,163.9193801947852,171.29362531642678,156.54513507314357
s12,145.26593273588293,151.677160387043,138.8547050847228
s13,148.11358241207492,154.74396575571103,141.48319906843875
s14,150.7360681245698,157.7245859570446,143.74755029209499
s15,154.67827484193418,161.45027566747513,147.9062740163932
s16,149.88636973686886,156.74725010936035,143.02548936437734
s17,172.60962261184397,179.78821568566855,165.4310295380194
s18,165.4960832784927,172.8144884188394,158.17767813814598
s19,152.14377757040995,158.5896987867885,145.6978563540314
s20,153.2782169811649,159.8466393314709,146.70979463085882
s21,155.41029036214348,162.60168109408164,148.21889963020533
s22,146.60328244111184,153.1115507240819,140.09501415814177
s23,134.38689858225854,140.16415740919484,128.60963975532218
s24,149.25207282034415,155.79653950664311,142.7076061340452
s25,144.55274738650758,151.10939156609885,137.99610320691625
s26,143.61171556323754,150.3311105909642,136.89232053551086
s27,144.2964393420483,150.748792388562,137.84408629553457
s28,146.54282399858215,153.27213397401493,139.8135140231493
s29,141.18575349434093,147.55525840927933,134.81624857940247
s30,141.2134830658354,147.7245384275932,134.70242770407754
