,mn,U,L
s1,143.10640305874563,149.20162455933445,137.01118155815678
s2,145.65038038379424,151.55238984761064,139.7483709199778
s3,222.68442160498142,230.427998937018,214.94084427294484
s4,203.60218853098385,211.2718610986501,195.93251596331757
s5,163.81075698522992,171.28571821872129,156.33579575173852
s6,159.21324571558313,165.26979026512797,153.15670116603832
s7,167.48438252161833,173.5002564364768,161.46850860675985
s8,162.93372905302658,168.75553574996616,157.11192235608698
s9,136.92199280246732,142.9055283129678,130.93845729196678
s10,206.06686919504605,212.9731883660945,199.16055002399762
s11,180.32257291112487,187.43836099485458,173.20678482739513
s12,167.88075032500996,172.89705708252197,162.864443567498
s13,177.01743432662064,182.12531346422222,171.90955518901907
s14,180.5994617669635,186.19052196296224,175.00840157096474
s15,183.1928610950643,188.69959921475123,177.68612297537734
s16,188.06902487162137,193.55849622724838,182.5795535159943
s17,235.7265488092701,241.89464997229655,229.55844764624365
s18,199.470439898305,205.98255077435425,192.95832902225578
s19,192.35780326060313,197.05114152473155,187.66446499647475
s20,198.9541056747776,203.42567841359443,194.48253293596076
s21,171.46096430789171,180.00760787816938,162.91432073761402
s22,155.39748559901437,161.9442560912241,148.8507151068046
s23,142.0581530771117,150.20810237857893,133.9082037756445
s24,168.49402274310722,176.52229956579995,160.4657459204145
s25,160.2424962466468,166.32588030085117,154.15911219244242
s26,170.857693951604,175.83780934257388,165.87757856063416
s27,172.3249616187237,177.52106857099432,167.1288546664531
s28,180.24418177701,185.14826221900915,175.34010133501087
s29,165.8432856836972,172.0545524941868,159.6320188732076
s30,173.53881755160384,182.88356961160923,164.19406549159845
