,mn,U,L
s1,252.12291873376086,263.4569272085254,240.78891025899617
s2,272.0609223913227,284.10784152414624,260.01400325849903
s3,346.4604297477937,362.39646156113656,330.52439793445075
s4,328.64247700892054,343.55256930055543,313.7323847172855
s5,284.6514999845484,297.6618788411792,271.6411211279175
s6,279.3187213252722,292.48934395721926,266.148098693325
s7,285.3245177481741,298.2507328636772,272.39830263267095
s8,276.9967415732481,289.40815040632043,264.58533274017566
s9,278.79682383668467,291.2983107918662,266.29533688150303
s10,339.4231111112858,354.46201075604085,324.3842114665306
s11,318.5928020617332,332.7148609004591,304.4707432230073
s12,285.8181091991025,298.37257169443416,273.26364670377075
s13,287.5698348741773,299.7990863820825,275.3405833662719
s14,288.14660669716045,300.98498244712124,275.3082309471996
s15,287.1573785100943,299.21971888610364,275.09503813408486
s16,289.4359575059239,301.6030799861995,277.26883502564823
s17,327.90284575989676,341.38189134285125,314.4238001769422
s18,313.927708004767,327.39386592694666,300.4615500825872
s19,292.6697072933153,304.93980835325715,280.39960623337345
s20,289.8066588162956,301.88948623763275,277.72383139495844
s21,292.4525263949938,305.2255924216482,279.67946036833945
s22,286.90937938478623,299.65645332494216,274.1623054446302
s23,283.4086358620536,296.0237458531209,270.7935258709862
s24,306.3162657532088,319.73295345442153,292.899578051996
s25,300.4536289039751,314.1914772279375,286.7157805800125
s26,287.3160926873821,301.38089532178986,273.25129005297424
s27,287.5150291494101,300.8369256476762,274.19313265114397
s28,288.8358812584728,302.63742579937184,275.03433671757364
s29,293.24561322857517,306.5195357043059,279.9716907528443
s30,296.01916665409726,308.95012975353563,283.08820355465895
