EntityIdx,SiteLocation
Site-1,-1942.39798523,1819.25704205492
Site-2,-1509.74449874375,861.602140770138
Site-3,-1433.68180835596,1458.62491981251
Site-4,643.094629045939,2274.96368553021
Site-5,-1516.73141786382,2118.38302398887
Site-6,-1732.67408678615,708.259484709413
Site-7,57.0410904786683,637.877597192334
Site-8,403.401228311222,851.500058157324
Site-9,-1230.46350151207,869.45608788015
Site-10,-1529.56747076438,1081.3109859039
Site-11,787.399219998321,489.23517044752
Site-12,1111.29122911512,463.867984892812
Site-13,32.477250244302,1091.69312177147
Site-14,-799.130758061242,1163.98053888136
Site-15,-1507.46519313538,1964.46098561971
Site-16,749.930417304538,1344.54442689145
Site-17,-1351.13533003444,2166.10872702968
Site-18,-900.628085676089,1863.9227972419
Site-19,-957.708465013912,1606.55680208267
Site-20,656.955269130131,350.305757393045
Site-21,-1328.86880356934,1865.67982875346
Site-22,156.173931100164,1165.47302697075
Site-23,45.6612351754536,50.5609882532774
Site-24,14.9530340843393,3069.65264786068
Site-25,-1159.29076563154,1909.49287423439
Site-26,1118.5791423463,1124.03118667305
Site-27,-151.964995475927,2762.03067224016
Site-28,855.356990018249,1457.03775078775
Site-29,322.787558749154,2083.6510847807
Site-30,-1418.31071514034,1564.24089990082
Site-31,-754.120129722736,1616.25868450906
Site-32,685.526322641321,1150.10461463704
Site-33,-1421.58319939554,1680.83292695459
Site-34,-579.952309136095,1475.85742067204
Site-35,-1405.49054577004,896.426211429979
Site-36,-466.591503190868,2848.89692996057
Site-37,588.65137945225,378.10564376794
Site-38,-1410.15545365931,1702.21640572264
Site-39,-1502.15929592676,2072.27283587912
Site-40,-117.21143969603,2579.17179123124
Site-41,912.047695478704,482.937290652033
Site-42,129.175403392742,2408.04048706456
Site-43,-1603.99280908534,2077.95833415314
Site-44,116.630880697733,1128.46518282294
Site-45,-1497.2089164514,1858.69216859575
Site-46,30.7289295245066,21.4978967526186
Site-47,942.073824316299,647.793912326744
Site-48,-46.4929918261599,1621.0787728092
Site-49,-1399.4362398382,1949.15088360888
Site-50,-1812.93074215248,845.154708741231
Site-51,-1600.89348966298,968.594462919698
Site-52,-598.755130379402,1443.62686286831
Site-53,-35.927349734198,936.602738476276
Site-54,767.46341609356,1328.81373862286
Site-55,-1172.61835615574,1871.82497452876
Site-56,-598.755130379402,1508.08797847578
Site-57,276.211336619448,2005.52805997091
Site-58,-809.639953866823,1616.25868450906
Site-59,3.69801305824,453.316063349956
Site-60,-660.744512561652,2905.38421642456
Site-61,-828.757967271405,2996.50302536173
Site-62,-1421.58319939554,1680.83292695459
Site-63,-1499.2600324702,1769.90328098186
Site-64,228.566505288984,927.721285250252
Site-65,423.89513019682,2603.28391188778
Site-66,423.89513019682,2756.10475248915
Site-67,-667.706869538843,2273.05465552856
Site-68,767.46341609356,1360.27511516004
Site-69,-592.376885405685,2830.39862628297
Site-70,1177.79970070872,460.715527377823
Site-71,876.771799145989,1157.61287317486
Site-72,441.753554221714,2092.66049856763
Site-73,-1436.03704566136,1949.15088360888
Site-74,-824.997460635755,2190.94590138109
Site-75,-1250.81218980063,1870.51153449824
Site-76,-1379.42349914348,1381.1062329709
Site-77,-1625.1557110624,1280.88986331539
Site-78,269.058668814761,2467.9092921588
Site-79,-1587.35227003146,2059.37211559572
Site-80,-830.194141473425,2906.66841044966
Site-81,-279.844158882301,1469.70249964471
Site-82,-1469.0943352664,1181.41201711478
Site-83,-1352.76530063607,1681.0395305334
Site-84,29.9306649509953,2480.66339480477
Site-85,-1814.69150636355,1838.64040887862
Site-86,-752.983467185101,1234.58085211526
Site-87,-1529.29679893669,1512.59176048547
Site-88,-1811.59912908342,748.599666479273
Site-89,152.213929010067,793.797528574365
Site-90,152.213929010067,844.160314716854
Site-91,-265.307863035741,1307.44343816306
Site-92,1040.37335395608,2586.85301118443
Site-93,349.872152741985,959.071153894837
Site-94,1051.37180899707,2496.24615610027
Site-95,108.83621173892,2656.86503268025
Site-96,226.283683328385,1031.80953184867
Site-97,-1942.02246020143,2026.5902416698
Site-98,536.438627931172,1029.79740483144
Site-99,738.005541091488,1162.51020112788
Site-100,-681.724886739398,2844.61926508811
Site-101,-430.471182077475,1617.93724626583
Site-102,-1625.44606599826,1365.44498557828
Site-103,-570.375931551665,2838.21713224258
Site-104,-1586.06608771048,2172.00544361808
Site-105,-1352.76530063607,1766.87241343995
Site-106,-1631.0205495628,867.276436920349
Site-107,999.833713979622,1157.61287317486
Site-108,1167.2868039223,530.306165722972
Site-109,-1416.76598153965,1390.47730757557
Site-110,1018.82135836603,649.620090503078
Site-111,-895.811216050246,1474.68613405389
Site-112,-1609.45075487564,842.011980935007
Site-113,-1233.52954522561,1884.70067337759
Site-114,-918.939649736516,3110.19551480454
Site-115,-1719.73877897041,1966.69839448155
Site-116,-826.385870089648,1399.21800206618
Site-117,-1825.60523554551,1697.56767034874
Site-118,773.416294195502,504.028046129467
Site-119,-1478.28287602401,1782.16302400747
Site-120,-1609.45075487564,892.540892905691
Site-121,-731.645652475825,1794.37887269053
Site-122,422.990816301328,1877.01157625246
Site-123,907.537277854398,1171.14710041843
Site-124,-592.376885405685,2830.39862628297
Site-125,108.83621173892,2656.86503268025
Site-126,-1162.89359268745,1598.06208817783
Site-127,-269.360685249253,1496.11436384784
Site-128,-1520.23718891639,1757.64353795624
Site-129,-935.698154866011,1302.60555775843
Site-130,-1815.52724115909,1648.45451805559
Site-131,-1531.30353980088,2072.27283587912
Site-132,-276.356854462188,1358.91273509914
Site-133,-1767.03174153213,1647.19380200971
Site-134,941.679978738197,2324.65232854553
Site-135,-779.320246800223,2342.4976941942
Site-136,230.729644623028,2024.40875103383
Site-137,749.930417304538,1344.54442689145
