,mn,U,L
s1,230.609403067889,233.5881129722993,227.6306931634786
s2,251.89001931771867,255.13128053223608,248.6487581032012
s3,311.3859770347303,315.47786069889275,307.2940933705678
s4,291.47893125497194,295.1746349338579,287.78322757608595
s5,260.5415926241231,263.96144452983896,257.12174071840724
s6,252.97831666906404,256.2237992891756,249.7328340489525
s7,260.8402069118434,264.2734838238134,257.4069299998733
s8,249.68719544252485,252.78085648241785,246.5935344026318
s9,247.32242955760645,250.23308613843543,244.41177297677737
s10,289.7170302200978,293.2735298204215,286.160530619774
s11,289.9074820417602,293.8265269670822,285.98843711643815
s12,252.43705675392428,255.54631538992427,249.3277981179243
s13,258.4887530791583,261.5313978420238,255.44610831629268
s14,257.38060060614237,260.5097492326597,254.25145197962496
s15,257.3360907958951,260.2827601302057,254.38942146158436
s16,255.5751403973033,258.50311814836,252.64716264624658
s17,286.0242056131101,289.3008648331155,282.74754639310464
s18,280.25145197783405,283.69753829613876,276.80536565952923
s19,255.40675762365927,258.3365392843813,252.47697596293725
s20,254.17035151931765,257.1385581152523,251.20214492338297
s21,268.3333559872425,271.86054890061007,264.8061630738749
s22,261.89304038022686,265.28175439421136,258.5043263662423
s23,257.71962380291836,261.11790029535086,254.32134731048592
s24,273.8151697582587,277.2364560624916,270.39388345402585
s25,274.0869294948974,277.77089798410555,270.4029610056891
s26,262.0512318824053,265.8102780325633,258.2921857322473
s27,260.9736227260885,264.1644321713878,257.78281328078907
s28,263.0270067133458,266.5382489940521,259.51576443263957
s29,263.38228482728465,266.6577600550753,260.10680959949394
s30,264.40746199535147,267.62291618391225,261.19200780679057
