,mn,U,L
s1,230.609403067889,239.18261505783875,222.03619107793912
s2,251.89001931771867,261.2188967171983,242.56114191823897
s3,311.3859770347303,323.1630843116545,299.608869757806
s4,291.47893125497194,302.11576804267463,280.84209446726925
s5,260.5415926241231,270.38448310450366,250.69870214374245
s6,252.97831666906404,262.31934396101894,243.6372893771091
s7,260.8402069118434,270.72173674559406,250.95867707809256
s8,249.68719544252485,258.59125551255084,240.78313537249875
s9,247.32242955760645,255.6997730043256,238.94508611088722
s10,289.7170302200978,299.95321500956044,279.4808454306351
s11,289.9074820417602,301.1871312929931,278.62783279052724
s12,252.43705675392428,261.38600924457864,243.48810426326986
s13,258.4887530791583,267.2459799992871,249.73152615902936
s14,257.38060060614237,266.38679972726965,248.37440148501503
s15,257.3360907958951,265.81708480941916,248.85509678237085
s16,255.5751403973033,264.0023369915398,247.14794380306677
s17,286.0242056131101,295.45496423459815,276.59344699162193
s18,280.25145197783405,290.169849368177,270.333054587491
s19,255.40675762365927,263.83914616355935,246.97436908375911
s20,254.17035151931765,262.7133332777081,245.62736976092714
s21,268.3333559872425,278.4851913609979,258.181520613487
s22,261.89304038022686,271.6463109394672,252.13976982098652
s23,257.71962380291836,267.50041673174627,247.93883087409046
s24,273.8151697582587,283.6621886710676,263.9681508454498
s25,274.0869294948974,284.68999049641127,263.48386849338334
s26,262.0512318824053,272.87037861354315,251.23208515126737
s27,260.9736227260885,270.157291721039,251.78995373113787
s28,263.0270067133458,273.13293356980085,252.92107985689077
s29,263.38228482728465,272.8096357264441,253.95493392812506
s30,264.40746199535147,273.6620625731679,255.15286141753492
