,mn,U,L
s1,121.06707635528414,122.89910967918394,119.23504303138432
s2,132.66496011006208,134.68546821282774,130.64445200729637
s3,174.63406641935413,177.3602192787508,171.9079135599574
s4,162.91186526794652,165.44822557629197,160.37550495960107
s5,142.0791095664992,144.35341336253663,139.80480577046174
s6,139.36191002420827,141.6698777078014,137.05394234061512
s7,140.669868511003,142.85360454084966,138.48613248115626
s8,138.62862885341045,140.8652209343744,136.3920367724465
s9,132.85132908263228,134.90877914279562,130.7938790224689
s10,171.39616449318538,174.04259609198218,168.74973289438856
s11,163.9193801947852,166.48151641714074,161.3572439724296
s12,145.26593273588293,147.49347444677576,143.03839102499003
s13,148.11358241207492,150.41726842367459,145.8098964004752
s14,150.7360681245698,153.16418576695912,148.30795048218047
s15,154.67827484193418,157.03116497871844,152.32538470514987
s16,149.88636973686886,152.27014052691487,147.5025989468228
s17,172.60962261184397,175.10378073062134,170.1154644930666
s18,165.4960832784927,168.03881824195716,162.95334831502822
s19,152.14377757040995,154.3833733476733,149.90418179314656
s20,153.2782169811649,155.56037502579773,150.996058936532
s21,155.41029036214348,157.90889494871152,152.91168577557542
s22,146.60328244111184,148.86454032412794,144.3420245580957
s23,134.38689858225854,136.39417171493164,132.37962544958543
s24,149.25207282034415,151.52590761649924,146.978238024189
s25,144.55274738650758,146.83081317799127,142.2746815950238
s26,143.61171556323754,145.94632813833752,141.27710298813753
s27,144.2964393420483,146.5382698192292,142.05460886486736
s28,146.54282399858215,148.8808814614288,144.20476653573542
s29,141.18575349434093,143.3987988965261,138.9727080921557
s30,141.2134830658354,143.47570930227602,138.95125682939474
