,mn,U,L
s1,186.4407060931899,187.96422810937182,184.9171840770079
s2,185.72012099864048,187.90366837670013,183.53657362058075
s3,284.15453590409095,284.89043811501176,283.4186336931701
s4,274.19895080954143,277.49026187064777,270.9076397484351
s5,190.75336571499207,193.33947970765107,188.167251722333
s6,191.87444728710906,192.8420843951201,190.9068101790979
s7,200.58886219255962,201.55332991182974,199.62439447328939
s8,196.82161043134357,198.080476810245,195.5627440524421
s9,185.58435867012736,188.4902429258662,182.67847441438846
s10,279.4487735755777,281.2724148467985,277.62513230435684
s11,204.034855147695,207.19904321759154,200.87066707779834
s12,202.62927005314538,203.0615216217688,202.19701848452183
s13,206.75535162526262,207.38336917535108,206.12733407517408
s14,201.09476653071312,203.38416710912625,198.8053659522999
s15,203.3541814361637,204.5492899576338,202.15907291469355
s16,221.98692967494748,224.24844823656008,219.72541111333476
s17,287.4380112470646,290.78524624190175,284.09077625222733
s18,219.47409281918183,220.99315004206645,217.95503559629717
s19,225.25184105796558,225.7731870242641,224.73049509166697
s20,250.30792263008277,250.97482064512812,249.6410246150373
s21,211.86567086886674,213.888555377819,209.84278635991438
s22,196.92508577431718,198.7520083579064,195.09816319072792
s23,188.62616734643427,192.78295885774142,184.46937583512704
s24,226.98391558521817,230.28861476099968,223.67921640943658
s25,216.38833049066866,218.57385556033165,214.20280542100556
s26,195.90441206278575,196.6112419679972,195.19758215757423
s27,195.65049363490297,196.22690911024063,195.07407815956523
s28,197.47990854035342,197.83730379070792,197.12251328999884
s29,227.74099011247066,228.86433219343743,226.61764803150376
s30,242.27207168458781,245.81610275270123,238.7280406164743
