,mn,U,L
s1,252.12291873376086,256.06085043777443,248.18498702974728
s2,272.0609223913227,276.24655052936936,267.8752942532761
s3,346.4604297477937,351.9973062247839,340.92355327080344
s4,328.64247700892054,333.8228970938117,323.46205692402935
s5,284.6514999845484,289.1718762922623,280.1311236768345
s6,279.3187213252722,283.8947733495337,274.74266930101066
s7,285.3245177481741,289.81565188042526,280.83338361592297
s8,276.9967415732481,281.30900942129597,272.68447372520023
s9,278.79682383668467,283.1403887755793,274.4532588977901
s10,339.4231111112858,344.64828452071276,334.1979377018588
s11,318.5928020617332,323.49942475844153,313.68617936502494
s12,285.8181091991025,290.1800801643874,281.45613823381757
s13,287.5698348741773,291.81881327723397,283.3208564711206
s14,288.14660669716045,292.60722158079807,283.6859918135229
s15,287.1573785100943,291.34836466446785,282.9663923557208
s16,289.4359575059239,293.6633495595273,285.20856545232044
s17,327.90284575989676,332.5860574461368,323.2196340736568
s18,313.927708004767,318.6064419523439,309.24897405719014
s19,292.6697072933153,296.93287862259206,288.4065359640386
s20,289.8066588162956,294.0047630688687,285.6085545637226
s21,292.4525263949938,296.8904498159806,288.01460297400706
s22,286.90937938478623,291.3382720147953,282.48048675477713
s23,283.4086358620536,287.79167842762524,279.025593296482
s24,306.3162657532088,310.97781157603845,301.6547199303792
s25,300.4536289039751,305.2267600146773,295.6804977932729
s26,287.3160926873821,292.20282206719924,282.429363307565
s27,287.5150291494101,292.1436403503735,282.8864179484467
s28,288.8358812584728,293.6311432289374,284.0406192880082
s29,293.24561322857517,297.8575561497564,288.6336703073939
s30,296.01916665409726,300.5119504442352,291.52638286395944
