,mn,U,L
s1,4.181106557937188,4.9780901636417925,3.3841229522325835
s2,5.194559102117925,5.501574745977582,4.887543458258268
s3,5.271207573546274,5.929253728387413,4.613161418705135
s4,4.96659428631331,5.881294689166781,4.051893883459838
s5,5.183699208316926,6.055129604459324,4.312268812174528
s6,5.492319978997965,7.032628205481261,3.952011752514668
s7,6.071971914364186,7.486390981474623,4.657552847253749
s8,5.912668924008997,6.954869275258218,4.870468572759776
s9,5.973600469753902,7.149563244906538,4.797637694601265
s10,6.459732413893401,7.41071338324363,5.508751444543172
s11,6.107895527870389,7.1566416218257425,5.059149433915036
s12,6.11986033508571,7.394552000923432,4.845168669247989
s13,5.760831473062,6.929005461589818,4.592657484534182
s14,5.228874462505402,6.445787828682905,4.0119610963279
s15,5.386057625254843,6.706204426281888,4.065910824227798
s16,5.326731966735503,6.490295194966144,4.1631687385048615
s17,4.792790575226116,6.170035382360714,3.415545768091517
s18,4.7850067145507715,6.150252096249806,3.419761332851737
s19,4.733590506064508,6.10325425733901,3.3639267547900054
s20,5.048868918458993,6.357495096210387,3.740242740707599
s21,5.008389367866117,6.353908935266828,3.6628698004654066
s22,4.689083340623621,5.996013824864545,3.382152856382697
s23,4.505026920535263,5.936575889155777,3.0734779519147493
s24,4.506257558588704,5.8855237230661475,3.1269913941112604
s25,4.6929050227888816,6.1601335934574095,3.225676452120353
s26,4.374496379075808,5.8775998588631655,2.87139289928845
s27,4.377188686768116,5.881569890851162,2.8728074826850687
s28,4.377188686768116,5.881569890851162,2.8728074826850687
s29,4.377188686768116,5.881569890851162,2.8728074826850687
s30,4.377188686768116,5.881569890851162,2.8728074826850687
