,mn,U,L
s1,296.63817678121103,304.597042243412,288.6793113190102
s2,303.6140519669844,312.0145409542159,295.213562979753
s3,436.61191699642916,447.60098336127487,425.62285063158356
s4,417.15984998805044,428.0503343845291,406.2693655915719
s5,315.5915766999358,324.7099768952091,306.47317650466255
s6,310.63220471002745,319.39789152438857,301.86651789566645
s7,325.51729521557434,334.2751298070517,316.7594606240971
s8,312.62964275313055,321.2940270501533,303.9652584561079
s9,302.771056793426,311.45806373221654,294.08404985463557
s10,423.06627841590443,433.39139339068,412.741163441129
s11,347.8126126391923,358.0987691376427,337.52645614074197
s12,322.18760351010457,329.9623902237614,314.41281679644777
s13,328.8976088094418,336.60969171065415,321.1855259082295
s14,324.82640942009795,334.2488431167629,315.40397572343306
s15,322.1115315903852,330.29912343611596,313.9239397446545
s16,343.29365089899875,352.38675449479234,334.20054730320527
s17,423.9011501633378,433.0473150967891,414.75498522988653
s18,356.4025020041184,365.5120664932201,347.2929375150167
s19,344.28659611932557,352.10193506763744,336.47125717101375
s20,368.3423098086623,376.0189348770858,360.665684740239
s21,339.7570683092632,348.6363456081034,330.8777910104232
s22,319.1984921300769,328.3707281349153,310.02625612523866
s23,310.3308572309,320.44129543143634,300.2204190303638
s24,359.47829597827246,369.4326202448634,349.5239717116817
s25,349.99794024493514,360.0688038919924,339.92707659787806
s26,322.7172649548292,331.73682497961,313.6977049300486
s27,321.52098095570375,329.84553264500016,313.1964292664075
s28,326.1490944232043,335.18674880161774,317.11144004479104
s29,353.89618368797437,362.90767930036606,344.8846880755828
s30,368.0401408658503,377.80192923083104,358.27835250086963
