,mn,U,L
s1,320.4417139564033,337.5599057894894,303.3235221233173
s2,324.03115358896565,341.8535633368034,306.2087438411279
s3,412.6377167209579,436.35420489014354,388.9212285517723
s4,383.2008325552371,404.3005683373497,362.10109677312454
s5,351.5414630945447,370.60027685185986,332.48264933722965
s6,337.31204028278245,357.37711813504353,317.24696243052136
s7,337.6095146809349,356.4696846444099,318.7493447174601
s8,331.4165258857455,349.86913550212773,312.96391626936327
s9,320.86749123025527,340.0748776525822,301.6601048079284
s10,382.26878496199646,405.25596428330255,359.2816056406904
s11,388.18881224005673,411.026612471198,365.3510120089156
s12,338.6090829868516,358.34039918084625,318.87776679285696
s13,334.95236682368926,353.05088296993176,316.8538506774468
s14,341.21515528559684,360.25722883610933,322.17308173508434
s15,337.5557693833102,355.5113653222414,319.60017344437904
s16,342.3297271070297,359.59614808225615,325.0633061318033
s17,369.67350472377956,388.91228084332903,350.43472860423014
s18,368.95797719305546,389.1383745898782,348.77757979623277
s19,351.2129449919404,369.3304933835335,333.0953966003474
s20,343.20453378393427,360.41083026084857,325.9982373070201
s21,356.39957678772265,375.4810465083923,337.31810706705306
s22,352.8046573007882,372.39097704224923,333.2183375593272
s23,361.2419740832902,380.31416022192343,342.16978794465695
s24,385.54151762661127,405.86592878018575,365.2171064730368
s25,358.89780946148915,379.47931132830024,338.31630759467805
s26,359.1093200363252,380.2478252257896,337.9708148468608
s27,343.82019673379335,363.849042990552,323.7913504770347
s28,337.696429816692,358.05112166937283,317.34173796401114
s29,336.22970504063267,355.88737604947437,316.57203403179096
s30,339.2168197935349,358.443916123118,319.9897234639518
