,mn,U,L
s1,143.10640305874563,147.78651660150422,138.426289515987
s2,145.65038038379424,150.18213930648938,141.11862146109908
s3,222.68442160498142,228.63019751116659,216.73864569879626
s4,203.60218853098385,209.49121790407412,197.71315915789356
s5,163.81075698522992,169.55028052790655,158.07123344255322
s6,159.21324571558313,163.8636618105367,154.56282962062954
s7,167.48438252161833,172.10357035223902,162.86519469099764
s8,162.93372905302658,167.4039056270916,158.46355247896153
s9,136.92199280246732,141.51635013198603,132.32763547294857
s10,206.06686919504605,211.36977047269687,200.76396791739523
s11,180.32257291112487,185.7863113781923,174.8588344440574
s12,167.88075032500996,171.73243728801788,164.02906336200206
s13,177.01743432662064,180.9394336049658,173.0954350482755
s14,180.5994617669635,184.8924635125349,176.30646002139207
s15,183.1928610950643,187.42111754938384,178.96460464074474
s16,188.06902487162137,192.28402333091833,183.85402641232437
s17,235.7265488092701,240.46262177780724,230.99047584073296
s18,199.470439898305,204.4706549520154,194.4702248445946
s19,192.35780326060313,195.9615042858362,188.75410223537006
s20,198.9541056747776,202.38752776294046,195.52068358661472
s21,171.46096430789171,178.02336114851897,164.89856746726446
s22,155.39748559901437,160.42431345735608,150.37065774067264
s23,142.0581530771117,148.3159548805258,135.8003512736977
s24,168.49402274310722,174.6584003755312,162.32964511068326
s25,160.2424962466468,164.91352060484826,155.57147188844533
s26,170.857693951604,174.68159198115507,167.033795922053
s27,172.3249616187237,176.31470514397452,168.33521809347286
s28,180.24418177701,184.00969764696825,176.47866590705178
s29,165.8432856836972,170.61250267025812,161.07406869713628
s30,173.53881755160384,180.71402860267523,166.36360650053248
