,mn,U,L
s1,186.4407060931899,186.97004447004423,185.91136771633558
s2,185.72012099864048,186.47878113785083,184.9614608594301
s3,284.15453590409095,284.4102206120997,283.8988511960822
s4,274.19895080954143,275.34249664367053,273.05540497541233
s5,190.75336571499207,191.65189515447145,189.8548362755127
s6,191.87444728710906,192.2106468632873,191.53824771093082
s7,200.58886219255962,200.9239605840658,200.25376380105342
s8,196.82161043134357,197.25899583083662,196.38422503185055
s9,185.58435867012736,186.59399032554268,184.57472701471207
s10,279.4487735755777,280.0823865461942,278.81516060496125
s11,204.034855147695,205.13423287849957,202.9354774168904
s12,202.62927005314538,202.77945320855605,202.47908689773467
s13,206.75535162526262,206.97355246979848,206.53715078072676
s14,201.09476653071312,201.89020471491716,200.29932834650907
s15,203.3541814361637,203.7694145592827,202.93894831304473
s16,221.98692967494748,222.7726804234861,221.20117892640886
s17,287.4380112470646,288.60098750884356,286.27503498528563
s18,219.47409281918183,220.00187993099908,218.94630570736462
s19,225.25184105796558,225.432979515204,225.07070260072715
s20,250.30792263008277,250.53963225361431,250.07621300655123
s21,211.86567086886674,212.5685096799632,211.16283205777026
s22,196.92508577431718,197.55983881678335,196.29033273185104
s23,188.62616734643427,190.07041905277427,187.18191564009427
s24,226.98391558521817,228.1321130376475,225.83571813278883
s25,216.38833049066866,217.14767776669237,215.62898321464496
s26,195.90441206278575,196.14999577655078,195.65882834902075
s27,195.65049363490297,195.85076565517454,195.45022161463143
s28,197.47990854035342,197.60408332726735,197.3557337534395
s29,227.74099011247066,228.13128842616445,227.35069179877686
s30,242.27207168458781,243.50342353457154,241.04071983460406
