,mn,U,L
s1,32.89068383829361,32.87009179999566,32.91127587659156
s2,42.161503340529656,42.240114174084574,42.08289250697474
s3,64.45278079703468,64.8037148302181,64.10184676385128
s4,56.84290280735757,57.30415540331215,56.381650211402984
s5,39.2219997119149,39.54554854877111,38.89845087505868
s6,42.071842842928106,42.37672315816849,41.766962527687724
s7,53.13915996014642,53.377869961703404,52.900449958589434
s8,43.036828959954505,43.15054716121749,42.923110758691514
s9,53.92236637831289,54.69773788911153,53.146994867514245
s10,58.37528748226586,58.62851033810236,58.122064626429356
s11,56.05115491536977,56.47090130488984,55.6314085258497
s12,53.2974250487433,53.612863297130026,52.981986800356566
s13,63.30562919674037,63.51364266229576,63.09761573118497
s14,59.17177238953994,59.39953884550204,58.944005933577834
s15,46.25016720124813,46.257297024798326,46.24303737769793
s16,53.251017317695215,53.72150047907397,52.78053415631646
s17,57.10593884196972,57.63565453093579,56.57622315300365
s18,49.35204185320652,49.678415650863165,49.025668055549865
s19,44.546180110846855,44.79403669111282,44.29832353058087
s20,50.07880299761031,50.305820877067646,49.85178511815298
s21,43.164958718594036,43.33908332877622,42.990834108411846
s22,46.897438558197365,47.167896240326385,46.62698087606834
s23,49.238108704670104,49.68223900440082,48.79397840493938
s24,69.03964165767101,69.6845247433211,68.39475857202092
s25,57.29487384465427,57.567001861131466,57.022745828177065
s26,42.84208754266958,42.91727443695953,42.766900648379625
s27,47.31044643319441,47.56003725340092,47.06085561298789
s28,48.689894884099694,48.99860499868812,48.38118476951126
s29,43.58071578339267,43.781182004908096,43.38024956187723
s30,42.857071324344034,42.9844475598704,42.729695088817664
