,mn,U,L
s1,119.40837491559361,122.02572022252497,116.79102960866234
s2,127.50911255683826,130.13364570234003,124.8845794113366
s3,165.2662220854874,168.7603005751846,161.7721435957903
s4,155.8248555103371,158.885431653729,152.76427936694532
s5,131.39533799125974,133.46309251321364,129.32758346930595
s6,125.21266082538659,127.05371782970059,123.37160382107271
s7,133.4753147457879,135.64435031837291,131.30627917320294
s8,125.11627720408202,126.74002355202563,123.4925308561385
s9,124.69091481569663,126.22314119219683,123.15868843919648
s10,161.64826511960692,164.79341689157852,158.5031133476354
s11,147.69915343660105,150.49710431565933,144.90120255754283
s12,127.02640890208792,128.73862405935023,125.3141937448257
s13,129.1668815216538,130.7981741574823,127.53558888582542
s14,136.12983812519857,138.4439203924979,133.81575585789935
s15,127.97993434821517,129.53644744897372,126.42342124745672
s16,139.4413596606945,142.14140427060514,136.74131505078398
s17,156.18974163065434,159.3161592689277,153.06332399238107
s18,145.85836474317438,148.40331285961707,143.31341662673174
s19,133.76497720455666,135.68194073563777,131.84801367347563
s20,133.19674122957974,135.41474719038374,130.9787352687758
s21,134.1711282908586,136.35308874040254,131.98916784131472
s22,125.87439104713008,127.66603954529582,124.0827425489644
s23,128.65095569866057,130.81602386216352,126.4858875351577
s24,144.2943519124742,147.01414546485748,141.57455836009103
s25,140.27940909943527,142.93413076084545,137.62468743802515
s26,132.63416131222925,135.42201778960938,129.8463048348492
s27,135.44700805729852,137.8267209660492,133.06729514854794
s28,137.14786543949793,139.8986996062795,134.39703127271645
s29,136.73406536320888,139.05943887918858,134.40869184722928
s30,139.70026662300893,142.2180897787492,137.1824434672687
