,mean
0,1.078
1,1.3176153846153846
2,1.5747307692307695
3,0.7910769230769231
4,1.6260769230769232
5,1.612807692307692
6,1.4370384615384617
7,1.0430000000000001
8,1.8739615384615396
9,1.2878076923076924
10,1.6937692307692311
11,0.9520384615384616
12,1.1243461538461537
13,1.1943461538461542
14,1.9822307692307688
15,1.2047307692307692
16,1.4499230769230773
17,1.1947307692307692
18,2.0739615384615386
19,1.0353076923076923
20,1.393961538461539
21,1.6339615384615385
22,1.8581923076923081
23,1.368384615384616
24,1.6810769230769231
25,1.8516538461538465
26,2.0831923076923076
27,1.4035769230769233
28,1.863192307692308
29,1.6347307692307693
30,1.8322307692307696
31,1.1862692307692309
32,1.6660769230769232
33,1.4497307692307693
34,1.759923076923077
35,1.5991538461538464
36,1.7543461538461544
37,1.795115384615385
38,1.9572307692307693
39,1.6205
40,1.5197307692307687
41,1.686653846153847
42,2.0033846153846158
43,1.3701153846153848
44,1.4676153846153845
45,1.5308846153846156
46,2.0614615384615385
47,1.450115384615385
48,1.404730769230769
49,1.669538461538462
50,1.716461538461539
51,1.5966538461538462
52,1.4891538461538458
53,1.436461538461539
54,1.602615384615385
55,1.3987692307692312
56,1.4535769230769229
57,1.523769230769231
58,1.8080000000000003
59,1.3099230769230767
60,1.5710769230769226
61,1.3766538461538464
62,1.5393461538461541
63,1.2912692307692308
64,1.323576923076923
65,1.4181923076923078
66,1.454346153846154
67,1.2147307692307692
68,1.2745384615384616
69,1.3193461538461542
70,1.4595384615384617
71,1.2591538461538465
72,1.2460769230769237
73,1.2587692307692306
74,1.453769230769231
75,1.3968461538461538
76,1.2533846153846155
77,1.410307692307693
78,1.4460769230769233
79,1.3897307692307697
80,1.2408846153846158
81,1.435884615384616
82,1.490884615384616
83,1.3862692307692304
84,1.2551153846153849
85,1.4220384615384618
86,1.341653846153846
87,1.2335769230769233
88,1.2708846153846152
89,1.3316538461538465
90,1.2608846153846156
91,1.2464615384615387
92,1.253192307692308
93,1.2610769230769234
94,1.2843461538461542
95,1.2453076923076927
96,1.3174230769230773
97,1.3949230769230772
98,1.3410769230769233
99,1.2556923076923079
100,1.2556923076923079
101,1.2610769230769234
102,1.2556923076923079
103,1.2610769230769234
104,1.2610769230769234
105,1.2610769230769234
106,1.2610769230769234
107,1.2610769230769234
108,1.2610769230769234
109,1.2610769230769234
110,1.2610769230769234
111,1.2610769230769234
112,1.2610769230769234
113,1.2610769230769234
114,1.2610769230769234
115,1.2610769230769234
116,1.2610769230769234
117,1.2610769230769234
118,1.2610769230769234
119,1.2610769230769234
