,mean
0,1.1581481481481484
1,0.923888888888889
2,1.917407407407407
3,1.0338888888888886
4,1.427592592592592
5,1.6462962962962964
6,1.2568518518518517
7,1.011111111111111
8,2.030370370370371
9,1.1835185185185184
10,1.6907407407407404
11,1.0470370370370372
12,1.3255555555555556
13,1.3201851851851851
14,1.9609259259259262
15,1.2985185185185184
16,1.7092592592592597
17,1.0705555555555555
18,2.0518518518518514
19,1.0948148148148147
20,1.6211111111111107
21,1.7537037037037038
22,2.06037037037037
23,1.5425925925925927
24,1.8824074074074078
25,1.8340740740740744
26,1.9957407407407406
27,1.6083333333333332
28,1.8857407407407403
29,1.6872222222222222
30,1.9974074074074073
31,1.4107407407407406
32,1.9044444444444448
33,1.7737037037037038
34,1.845185185185185
35,1.8409259259259267
36,1.8272222222222225
37,1.7292592592592588
38,2.0051851851851854
39,1.7364814814814815
40,1.7388888888888892
41,1.7901851851851849
42,2.148333333333333
43,1.62962962962963
44,1.8675925925925925
45,1.7585185185185186
46,2.2809259259259256
47,1.661851851851852
48,1.7066666666666666
49,1.7131481481481485
50,1.8285185185185182
51,1.8501851851851852
52,1.6337037037037039
53,1.607037037037037
54,1.7094444444444445
55,1.629444444444445
56,1.6612962962962967
57,1.6401851851851854
58,1.9812962962962966
59,1.5687037037037042
60,1.699444444444445
61,1.6216666666666673
62,1.837777777777778
63,1.578888888888889
64,1.588518518518519
65,1.6296296296296295
66,1.6029629629629627
67,1.494814814814815
68,1.5872222222222225
69,1.6551851851851853
70,1.657592592592593
71,1.4881481481481484
72,1.509814814814815
73,1.5235185185185185
74,1.6188888888888888
75,1.6092592592592594
76,1.5312962962962966
77,1.5727777777777778
78,1.7025925925925927
79,1.761666666666667
80,1.5179629629629634
81,1.598703703703704
82,1.6933333333333334
83,1.6722222222222227
84,1.4988888888888894
85,1.5711111111111111
86,1.5846296296296298
87,1.4888888888888892
88,1.5101851851851857
89,1.539074074074074
90,1.502777777777778
91,1.499444444444445
92,1.5022222222222228
93,1.5092592592592593
94,1.5435185185185187
95,1.5000000000000004
96,1.5716666666666672
97,1.6185185185185187
98,1.5694444444444446
99,1.5020370370370373
100,1.5020370370370373
101,1.5020370370370373
102,1.5020370370370373
103,1.5020370370370373
104,1.5020370370370373
105,1.5020370370370373
106,1.5020370370370373
107,1.5020370370370373
108,1.5020370370370373
109,1.5020370370370373
110,1.5020370370370373
111,1.5020370370370373
112,1.5020370370370373
113,1.5020370370370373
114,1.5020370370370373
115,1.5020370370370373
116,1.5020370370370373
117,1.5020370370370373
118,1.5020370370370373
119,1.5020370370370373
