,mean
0,0.7926938775510204
1,0.864734693877551
2,1.6504489795918367
3,0.5686122448979593
4,1.302489795918367
5,1.5998367346938773
6,1.2728979591836729
7,0.9424897959183673
8,1.4892244897959186
9,1.234734693877551
10,1.3663673469387752
11,0.9957551020408164
12,0.7671836734693879
13,1.2604489795918368
14,1.708204081632653
15,1.2165714285714286
16,1.3104489795918368
17,1.1555510204081632
18,2.157795918367348
19,0.7753469387755104
20,1.0073877551020407
21,1.5692244897959184
22,1.7265714285714286
23,1.2533061224489797
24,1.0424897959183672
25,1.7961632653061217
26,1.9704489795918367
27,1.2092244897959183
28,1.2753469387755105
29,1.6788163265306124
30,1.7616734693877552
31,1.1290204081632655
32,1.6563673469387759
33,1.176163265306123
34,1.5965714285714288
35,1.1839183673469391
36,1.3116734693877554
37,2.0065714285714287
38,1.881265306122449
39,1.3410612244897961
40,1.0998367346938775
41,1.683714285714286
42,1.9384081632653065
43,1.2216734693877553
44,1.34065306122449
45,1.4080000000000004
46,2.174938775510204
47,1.194938775510204
48,1.0790204081632657
49,1.2833061224489797
50,1.5684081632653062
51,1.3010612244897966
52,1.0535102040816329
53,1.0502448979591839
54,1.4131020408163268
55,1.2051428571428568
56,1.0861632653061226
57,1.2875918367346941
58,1.5316734693877552
59,1.0139183673469387
60,1.4112653061224492
61,1.1624897959183673
62,1.1512653061224492
63,1.204122448979592
64,1.1039183673469393
65,1.2535102040816328
66,1.1728979591836735
67,1.030857142857143
68,1.0537142857142858
69,1.0761632653061226
70,1.3208571428571432
71,0.9808571428571429
72,1.030244897959184
73,1.0328979591836736
74,1.3086122448979594
75,1.0837142857142859
76,1.1447346938775511
77,1.2155510204081634
78,1.3292244897959187
79,1.1939183673469391
80,1.0745306122448979
81,1.2253469387755103
82,1.4396326530612245
83,1.184938775510204
84,1.0208571428571431
85,1.177387755102041
86,1.2757551020408162
87,1.037387755102041
88,1.0855510204081635
89,1.0969795918367349
90,1.103510204081633
91,1.1131020408163264
92,1.1061632653061224
93,1.048
94,1.1524897959183673
95,1.0404489795918368
96,1.1659591836734697
97,1.233918367346939
98,1.1714693877551021
99,1.044122448979592
100,1.044122448979592
101,1.044122448979592
102,1.044122448979592
103,1.044122448979592
104,1.044122448979592
105,1.044122448979592
106,1.044122448979592
107,1.044122448979592
108,1.044122448979592
109,1.044122448979592
110,1.044122448979592
111,1.044122448979592
112,1.044122448979592
113,1.044122448979592
114,1.044122448979592
115,1.044122448979592
116,1.044122448979592
117,1.044122448979592
118,1.044122448979592
119,1.044122448979592
