,src,tgt,ss,delay,gamma,omega
171,singles,meetingPairs,MED,1.5,0.3148905,0.16290500000000002
172,singles,myFriends,HI,3.0,0.31273249999999997,0.09378085
173,singles,myFriends,LEFT,3.5,0.3591565,0.1419206
174,singles,myFriends,MED,1.5,0.44638374999999997,-0.021307700000000002
175,singles,myFriendsR,HI,1.0,0.318306,0.0651245
176,singles,myFriendsR,LEFT,3.5,0.36556999999999995,0.0732838
177,singles,myFriendsR,MED,1.5,0.4288465,0.0363193
178,singles,popFrac,HI,2.6666666666666665,0.34753549999999994,-0.045923166666666675
179,singles,popFrac,MED,1.5,0.3671025,0.15771300000000002
180,singles,singles,HI,1.0,0.341071,0.22976300000000002
181,singles,singles,MED,1.5,0.3621455,0.09309077499999999
182,singles,visitors,HI,1.0,0.352502,0.169568
183,singles,visitors,MED,1.5,0.339558,0.08801714999999999
184,visitors,Dist,HI,2.6666666666666665,0.35233766666666666,0.266546
185,visitors,Dist,LEFT,2.0,0.33279699999999995,0.10903499999999999
186,visitors,Dist,MED,2.6666666666666665,0.38237733333333335,0.19364533333333334
187,visitors,MeetFrac,HI,1.5,0.42525599999999997,0.1143967
188,visitors,MeetFrac,MED,1.5,0.3230645,0.140595
189,visitors,SiteTypeRecreationalSite,HI,1.0,0.355783,0.172677
190,visitors,SiteTypeRecreationalSite,LEFT,1.0,0.36947,0.021932250000000007
191,visitors,SiteTypeRecreationalSite,MED,3.0,0.3609905,0.12442835
192,visitors,SiteTypeRestaurant,HI,2.6666666666666665,0.4534833333333334,0.11656746666666669
193,visitors,SiteTypeRestaurant,LEFT,3.5,0.31744175,0.11355132500000001
194,visitors,SiteTypeRestaurant,LOW,5.0,0.3997469999999999,0.0498886
195,visitors,SiteTypeRestaurant,MED,3.5,0.36146575000000003,0.06536895
196,visitors,fracFriends,HI,1.0,0.40863299999999997,-0.0165923
197,visitors,fracFriends,LEFT,3.5,0.32592774999999996,0.027178500000000008
198,visitors,fracFriends,MED,2.0,0.49210200000000004,0.0119047
199,visitors,meetingPairs,HI,1.5,0.38722924999999997,0.11546615
200,visitors,meetingPairs,LEFT,1.5,0.3119585,0.06823810000000001
201,visitors,meetingPairs,MED,1.5,0.3078205,0.190446
202,visitors,myFriends,HI,3.0,0.31622549999999994,0.11347199999999999
203,visitors,myFriends,LEFT,3.5,0.34716675,0.0322936
204,visitors,myFriends,MED,2.0,0.491974,0.0119047
205,visitors,myFriendsR,HI,1.0,0.312646,0.0440738
206,visitors,myFriendsR,LEFT,3.5,0.352453,-0.0207181
207,visitors,myFriendsR,LOW,5.0,0.39265100000000003,0.0205493
208,visitors,myFriendsR,MED,1.5,0.413856,0.07365994999999999
209,visitors,popFrac,HI,1.0,0.454298,0.28262
210,visitors,popFrac,MED,1.5,0.37472249999999996,0.15717015
211,visitors,singles,HI,2.6666666666666665,0.33894399999999997,0.341571
212,visitors,singles,MED,1.5,0.339229,0.12202682499999999
213,visitors,visitors,HI,3.0,0.35817499999999997,0.24229499999999998
214,visitors,visitors,MED,1.5,0.38776225,0.137346
