variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
52.5#53.5#52.5#53.5#meetingPairs,0.026622789726187694,0.0188176,0.02630305639058414,0.0188045,672,5735
92.5#93.5#92.5#93.5#myFriends,0.06172120817817992,0.0402884,0.027941917985257986,0.0206705,992,2035
33.5#34.5#33.5#34.5#meetingPairs,0.02242520576805697,0.0141742,0.03985832132616488,0.02071595,1015,5580
66.5#67.5#66.5#67.5#popFrac,0.03734827931234306,0.0194866,0.0504189159478965,0.024451900000000002,908,5681
64.5#65.5#64.5#65.5#myFriends,0.38867164335664334,0.380931,0.03046952928176796,0.0223616,615,543
91.5#92.5#91.5#92.5#popFrac,0.02166118812763961,0.0131602,0.04622261917743273,0.023590200000000002,980,8437
29.5#30.5#29.5#30.5#visitors,0.08790678761,0.051999000000000004,0.03306875027889681,0.025908050000000002,1064,6454
59.5#60.5#59.5#60.5#myFriends,0.05045743755193353,0.038428699999999996,0.02526029602601156,0.018872799999999995,691,1384
6.5#7.5#6.5#7.5#singles,0.02793257488638823,0.017808749999999998,0.049830959499241274,0.021986600000000002,1019,6590
84.5#85.5#84.5#85.5#fracFriends,0.04090486079999999,0.02559275,0.029984244802079167,0.020704399999999998,1056,5002
14.5#15.5#14.5#15.5#popFrac,0.055047247800000004,0.039030550000000004,0.04690812856137883,0.026106900000000002,864,2843
63.5#64.5#63.5#64.5#Dist,0.022440060306970794,0.017193700000000003,0.03503925411878721,0.0270704,907,7223
69.5#70.5#69.5#70.5#Dist,0.028501172879914983,0.0167113,0.0339724512844249,0.026677099999999995,922,4321
57.5#58.5#57.5#58.5#meetingPairs,0.029402879526627217,0.018013,0.02968721009589771,0.020837,683,3754
11.5#12.5#11.5#12.5#fracFriends,0.07678014129290904,0.0516967,0.033504970678768745,0.022266349999999997,710,2534
65.5#66.5#65.5#66.5#singles,0.03208820058536585,0.0182288,0.04407204140822785,0.022781049999999997,891,6320
67.5#68.5#67.5#68.5#meetingPairs,0.023022203324968633,0.016442199999999997,0.025837935896168108,0.0172118,620,4045
48.5#49.5#48.5#49.5#singles,0.021909806588845653,0.0167551,0.026696124363697255,0.01873275,721,5972
73.5#74.5#73.5#74.5#Dist,0.018998614411141385,0.0151672,0.03466251046745053,0.027511900000000002,795,3487
10.5#11.5#10.5#11.5#fracFriends,0.023602800275482092,0.0193558,0.030310801977040818,0.018815000000000002,819,1568
73.5#74.5#73.5#74.5#visitors,0.02198568146292585,0.015904849999999998,0.02396289457482475,0.0164359,631,3281
12.5#13.5#12.5#13.5#visitors,0.035802815815486,0.0210908,0.05041530919208133,0.025037200000000003,913,9345
60.5#61.5#60.5#61.5#Dist,0.03360299315689981,0.0193247,0.056316573632,0.028152099999999996,1032,3125
5.5#6.5#5.5#6.5#visitors,0.04054055925629748,0.01901485,0.04744118935742972,0.0235689,840,6972
8.5#9.5#8.5#9.5#fracFriends,0.04578791796255886,0.021205599999999998,0.03443190751590225,0.026110249999999998,1040,5974
74.5#75.5#74.5#75.5#visitors,0.02713531409982935,0.0169251,0.04370000829152731,0.0226267,850,7176
76.5#77.5#76.5#77.5#meetingPairs,0.03389522487243229,0.016704300000000002,0.03570860116258893,0.023082400000000003,896,5763
13.5#14.5#13.5#14.5#singles,0.02051993830975428,0.015001100000000002,0.024906233060946546,0.0172123,646,2937
