years,z_median,z_mean,absImedian,absImean,normalizer,normIMedian,normIMean,gamma_mean,M_med,M_mean
TERROR2007_2011,3.0,4.793089516056624,270.0,356.5514018691589,18900,0.014285714285714285,0.018865153538050735,0.0876049194293179,0.1517361714445565,0.17436861338971374
TERROR2008_2012,3.0,4.8015486710257855,352.0,411.13761467889907,19620,0.017940876656472985,0.02095502623235979,0.09182765532155984,0.18160323159181174,0.19626635033418854
TERROR2009_2013,4.0,6.321993860090098,382.0,516.1891891891892,20070,0.019033383158943696,0.025719441414508677,0.09141532482158876,0.1883343048905434,0.21892845104350472
TERROR2010_2014,5.0,8.782265225384466,386.0,540.7387387387388,20160,0.019146825396825398,0.026822358072358075,0.07718042779182432,0.1598378315520591,0.18918193732684913
TERROR2011_2015,6.0,10.485004578308558,362.0,621.1592920353983,20610,0.017564289180009705,0.03013873323801059,0.07606301595990994,0.15254801894937653,0.19982682129177493
TERROR2012_2016,7.0,11.016834336907035,271.0,447.05263157894734,20700,0.013091787439613527,0.02159674548690567,0.07369012471751345,0.12787118276345352,0.16423562391912366
