variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
50.30612#51.10204#3.71429#5.12245#Bombing_Explosion-Facility_Infrastructure_Attack,0.1308832552587646,0.0708043,0.25648286352459015,0.1566685,284,244
43.14286#43.93878#-1.91837#-0.5102#Bombing_Explosion-Facility_Infrastructure_Attack,0.058529604189435334,0.0331264,0.2276332435483871,0.1085935,460,806
35.18367#35.97959#41.73469#43.14286#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11180278209342562,0.0386675,0.15161622782782783,0.0690125,321,1998
35.97959#36.77551#0.89796#2.30612#Bombing_Explosion-Facility_Infrastructure_Attack,0.08066430543746911,0.0571237,0.23207722180685358,0.1043315,448,642
51.10204#51.89796#-3.32653#-1.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.07233000814940577,0.026510900000000004,0.13029161030460143,0.07283339999999999,504,1543
40.7551#41.55102#38.91837#40.32653#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.3282489054474708,0.454003,0.23624577467532468,0.1432955,165,154
32.0#32.79592#23.42857#24.83673#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11380401076598311,0.09161195,0.2091245793604651,0.10726650000000001,489,344
41.55102#42.34694#20.61224#22.02041#Bombing_Explosion-Facility_Infrastructure_Attack,0.06929901296235678,0.0427911,0.23655716673267324,0.1217125,505,1010
40.7551#41.55102#29.06122#30.46939#Bombing_Explosion-Facility_Infrastructure_Attack,0.2943564052631579,0.339891,0.23690481052631576,0.106131,98,114
50.30612#51.10204#33.28571#34.69388#Bombing_Explosion-Facility_Infrastructure_Attack,0.3510476643109541,0.45421300000000003,0.19372100513833992,0.084872,183,253
36.77551#37.57143#34.69388#36.10204#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0938247584719944,0.0626433,0.22992946020469593,0.269007,426,1661
47.91837#48.71429#37.5102#38.91837#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.17489015576785286,0.0582014,0.05881706046065259,0.027181950000000003,543,4168
42.34694#43.14286#22.02041#23.42857#Bombing_Explosion-Facility_Infrastructure_Attack,0.10891571319612589,0.07039134999999999,0.23262395473441108,0.107603,335,433
32.79592#33.59184#43.14286#44.55102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.37594979771389764,0.498496,0.07461294904358734,0.0431195,850,3189
55.08163#55.87755#-7.55102#-6.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.06360916491721337,0.039493900000000005,0.24004077408163266,0.117197,543,980
33.59184#34.38776#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.3421306419230769,0.4541395,0.2873351790322581,0.2185995,176,186
39.16327#39.95918#38.91837#40.32653#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08251333300030277,0.0458276,0.20482365065165878,0.16461350000000002,522,1688
50.30612#51.10204#30.46939#31.87755#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0774302320084312,0.0363795,0.18231572317508932,0.129573,575,1959
45.53061#46.32653#29.06122#30.46939#Bombing_Explosion-Facility_Infrastructure_Attack,0.38536885835189305,0.454312,0.24907053023255815,0.21846300000000002,246,215
51.10204#51.89796#12.16327#13.57143#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.22825220734265733,0.279085,0.13125657521008402,0.0868651,259,476
37.57143#38.36735#36.10204#37.5102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.30243364851063836,0.418971,0.23371735802469135,0.143144,146,162
41.55102#42.34694#-8.95918#-7.55102#Bombing_Explosion-Facility_Infrastructure_Attack,0.10705393614285713,0.07688195,0.2576905327338129,0.13348549999999998,286,278
60.65306#61.44898#26.2449#27.65306#Bombing_Explosion-Facility_Infrastructure_Attack,0.3714325436194896,0.45428900000000005,0.25065623469387754,0.144545,249,245
43.14286#43.93878#13.57143#14.97959#Bombing_Explosion-Facility_Infrastructure_Attack,0.33995741048951045,0.454078,0.21701129545454545,0.095744,150,66
49.5102#50.30612#23.42857#24.83673#Bombing_Explosion-Facility_Infrastructure_Attack,0.06872004279379157,0.0419138,0.2324136568487728,0.110904,603,1263
43.93878#44.73469#45.95918#47.36735#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.32158220515021463,0.44981099999999996,0.23900215877192982,0.143175,126,114
35.97959#36.77551#43.14286#44.55102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.23471196569987388,0.0807594,0.06717224168865435,0.038155800000000004,678,4169
32.0#32.79592#14.97959#16.38776#Bombing_Explosion-Facility_Infrastructure_Attack,0.09423818262085497,0.0309563,0.20806426312968918,0.09536900000000001,596,1866
52.69388#53.4898#7.93878#9.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.3359740628571429,0.44224699999999995,0.2759397686567164,0.218666,204,134
41.55102#42.34694#9.34694#10.7551#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.13091838405797104,0.08448589999999999,0.24842928489583335,0.144364,473,192
53.4898#54.28571#13.57143#14.97959#Bombing_Explosion-Facility_Infrastructure_Attack,0.3772282106888361,0.454288,0.2552506300884956,0.21864699999999998,262,113
44.73469#45.53061#10.7551#12.16327#Bombing_Explosion-Facility_Infrastructure_Attack,0.3441775609665428,0.45411599999999996,0.19352165068493152,0.0842275,149,73
61.44898#62.2449#23.42857#24.83673#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.36808121527093596,0.454269,0.22891495652173907,0.18133749999999998,276,46
39.95918#40.7551#29.06122#30.46939#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.33742147811320755,0.454237,0.18279581626794256,0.0841919,176,209
32.79592#33.59184#20.61224#22.02041#Bombing_Explosion-Facility_Infrastructure_Attack,0.0952597555029959,0.06752430000000001,0.2642673421319797,0.143515,358,591
39.16327#39.95918#22.02041#23.42857#Bombing_Explosion-Facility_Infrastructure_Attack,0.09880782354060913,0.07342795,0.28927871379310344,0.218703,291,319
38.36735#39.16327#41.73469#43.14286#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07906371600537995,0.04802035,0.10952495553359684,0.07716265,450,1012
32.0#32.79592#43.14286#44.55102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06508696654121189,0.030228500000000002,0.22921087943485088,0.10453299999999999,574,1274
53.4898#54.28571#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.10701033856988082,0.0807683,0.2405699451737452,0.1068685,472,518
47.91837#48.71429#7.93878#9.34694#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.3802374809178744,0.45430699999999996,0.2476852893004115,0.143832,238,243
41.55102#42.34694#43.14286#44.55102#Bombing_Explosion-Facility_Infrastructure_Attack,0.09853079732540862,0.0687952,0.3108138891050583,0.45427799999999996,274,257
39.95918#40.7551#43.14286#44.55102#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.12892440975877192,0.0852109,0.23898471728395065,0.14472349999999998,410,162
43.93878#44.73469#45.95918#47.36735#Bombing_Explosion-Facility_Infrastructure_Attack,0.13317264707412227,0.0861682,0.23028938157894738,0.107187,293,190
51.10204#51.89796#26.2449#27.65306#Bombing_Explosion-Facility_Infrastructure_Attack,0.38514342525000006,0.454295,0.23774331980198019,0.144527,267,101
53.4898#54.28571#-7.55102#-6.14286#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.10443010184376515,0.07603539999999999,0.2550123194991055,0.144526,400,559
35.18367#35.97959#10.7551#12.16327#Bombing_Explosion-Facility_Infrastructure_Attack,0.1079469740340031,0.0715352,0.3037142175324675,0.454348,197,308
37.57143#38.36735#38.91837#40.32653#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.15476670009254975,0.03281,0.12915590722689077,0.0647225,307,2975
47.12245#47.91837#36.10204#37.5102#Bombing_Explosion-Facility_Infrastructure_Attack,0.08377758093420166,0.0613697,0.2525187736263736,0.13056,482,728
55.08163#55.87755#-8.95918#-7.55102#Bombing_Explosion-Facility_Infrastructure_Attack,0.3406705863387978,0.454043,0.2848741231292517,0.218651,203,147
33.59184#34.38776#38.91837#40.32653#Bombing_Explosion-Facility_Infrastructure_Attack,0.3433390521400778,0.45421000000000006,0.34408689451219515,0.493397,147,164
37.57143#38.36735#38.91837#40.32653#Bombing_Explosion-Facility_Infrastructure_Attack,0.12536440861678005,0.0290892,0.15221232765807136,0.0668422,286,2831
43.14286#43.93878#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.32895458125000004,0.454002,0.2362259801724138,0.125156,126,116
39.16327#39.95918#41.73469#43.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.08597462496630728,0.057426000000000005,0.09242081902654867,0.0797143,506,678
32.0#32.79592#41.73469#43.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.16633045499390986,0.0288073,0.17159450423970646,0.053878199999999994,345,2453
34.38776#35.18367#36.10204#37.5102#Bombing_Explosion-Facility_Infrastructure_Attack,0.18940245709177597,0.030650999999999998,0.052441774424284715,0.01948955,497,2866
42.34694#43.14286#16.38776#17.79592#Bombing_Explosion-Facility_Infrastructure_Attack,0.3809639822869955,0.454303,0.24386104159292038,0.144122,244,226
35.97959#36.77551#2.30612#3.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.05998376051150896,0.029525,0.23328176907114623,0.1075805,433,1012
51.10204#51.89796#12.16327#13.57143#Bombing_Explosion-Facility_Infrastructure_Attack,0.12453574292279412,0.08255165,0.2175986900970874,0.107563,362,515
43.14286#43.93878#44.55102#45.95918#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.06336022592735703,0.0314483,0.21797607832103322,0.1064315,483,1084
32.79592#33.59184#34.69388#36.10204#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.14219419741100323,0.027491599999999998,0.22303573677034513,0.09616060000000001,289,2347
32.79592#33.59184#10.7551#12.16327#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.323833044959128,0.41146000000000005,0.2554029153846154,0.14456,202,169
