loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
models/133model,42.346940000000004,43.14286,-6.14286,-4.7346900000000005,VAR,VAR,20,0.9999950000000001,1.0,0.0,7
models/133model,42.346940000000004,43.14286,-6.14286,-4.7346900000000005,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.9999950000000001,1.0,0.0,7
models/133model,42.346940000000004,43.14286,-6.14286,-4.7346900000000005,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.9999950000000001,1.0,0.0,7
models/133model,42.346940000000004,43.14286,-6.14286,-4.7346900000000005,ALL,VAR,20,0.9999950000000001,1.0,0.0,7
models/255model,59.85714,60.653059999999996,9.34694,10.7551,VAR,VAR,20,0.9999950000000001,1.0,0.0,7
models/255model,59.85714,60.653059999999996,9.34694,10.7551,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.9999950000000001,1.0,0.0,7
models/255model,59.85714,60.653059999999996,9.34694,10.7551,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.9999950000000001,1.0,0.0,7
models/255model,59.85714,60.653059999999996,9.34694,10.7551,ALL,VAR,20,0.9999950000000001,1.0,0.0,7
models/506model,34.38776,35.18367,40.32653,41.73469,VAR,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/506model,34.38776,35.18367,40.32653,41.73469,Bombing_Explosion-Facility_Infrastructure_Attack,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/506model,34.38776,35.18367,40.32653,41.73469,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/506model,34.38776,35.18367,40.32653,41.73469,ALL,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/407model,43.93878,44.73469,16.38776,17.795920000000002,VAR,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
