lattgt1 lattgt2 lontgt1 lontgt2 tpr
32.0 32.79592 34.69388 36.10204 0.555556
32.0 32.79592 43.14286 44.55102 0.528571
32.0 32.79592 44.55102 45.95918 0.8
32.79592 33.591840000000005 36.10204 37.5102 0.2
32.79592 33.591840000000005 43.14286 44.55102 0.853881
33.591840000000005 34.38776 41.73469 43.14286 0.5
33.591840000000005 34.38776 43.14286 44.55102 0.425
33.591840000000005 34.38776 44.55102 45.95918 0.503704
34.38776 35.18367 36.10204 37.5102 0.423077
34.38776 35.18367 43.14286 44.55102 0.461538
34.38776 35.18367 44.55102 45.95918 0.5
35.18367 35.97959 43.14286 44.55102 0.46875
35.18367 35.97959 45.95918 47.36735 0.666667
35.97959 36.77551 3.71429 5.12245 0.6
35.97959 36.77551 36.10204 37.5102 0.5
35.97959 36.77551 40.32653 41.73469 0.4
35.97959 36.77551 41.73469 43.14286 0.733333
35.97959 36.77551 43.14286 44.55102 0.5243899999999999
36.77551 37.57143 33.285709999999995 34.69388 0.5
37.57143 38.36735 38.91837 40.32653 0.428571
38.36735 39.16327 40.32653 41.73469 0.666667
39.16327 39.95918 31.87755 33.285709999999995 0.5
40.7551 41.55102 29.06122 30.46939 0.5
42.34694 43.14286 9.34694 10.7551 0.5
42.34694 43.14286 45.95918 47.36735 0.421053
42.34694 43.14286 47.36735 48.77551 0.5882350000000001
43.14286 43.93878 41.73469 43.14286 0.666667
43.14286 43.93878 43.14286 44.55102 0.621622
43.14286 43.93878 44.55102 45.95918 0.416667
43.14286 43.93878 45.95918 47.36735 0.428571
50.30612 51.10204 30.46939 31.87755 0.5
52.69388000000001 53.4898 -7.5510199999999985 -6.14286 0.6
54.28571 55.08163 -7.5510199999999985 -6.14286 0.62
54.28571 55.08163 -6.14286 -4.7346900000000005 0.583333
55.08163 55.87755 37.5102 38.91837 0.571429
