lattgt1 lattgt2 lontgt1 lontgt2 fpr
32.0 32.79592 34.69388 36.10204 0.77809
32.0 32.79592 43.14286 44.55102 0.6310979999999999
32.0 32.79592 44.55102 45.95918 0.729345
32.79592 33.591840000000005 34.69388 36.10204 0.730539
32.79592 33.591840000000005 36.10204 37.5102 0.59887
32.79592 33.591840000000005 38.91837 40.32653 0.275281
32.79592 33.591840000000005 43.14286 44.55102 0.566667
32.79592 33.591840000000005 44.55102 45.95918 0.8
33.591840000000005 34.38776 34.69388 36.10204 0.891667
33.591840000000005 34.38776 40.32653 41.73469 0.960452
33.591840000000005 34.38776 43.14286 44.55102 0.760274
33.591840000000005 34.38776 44.55102 45.95918 0.665179
34.38776 35.18367 36.10204 37.5102 0.7507510000000001
34.38776 35.18367 40.32653 41.73469 0.33518000000000003
34.38776 35.18367 43.14286 44.55102 0.698997
34.38776 35.18367 44.55102 45.95918 0.758721
35.18367 35.97959 7.93878 9.34694 0.252078
35.18367 35.97959 41.73469 43.14286 0.751397
35.18367 35.97959 43.14286 44.55102 0.595833
35.18367 35.97959 44.55102 45.95918 0.98017
35.18367 35.97959 45.95918 47.36735 0.948276
35.18367 35.97959 50.18367 51.59184000000001 0.613889
35.97959 36.77551 2.30612 3.71429 0.593923
35.97959 36.77551 3.71429 5.12245 0.6537310000000001
35.97959 36.77551 36.10204 37.5102 0.626039
35.97959 36.77551 40.32653 41.73469 0.98017
35.97959 36.77551 41.73469 43.14286 0.677515
35.97959 36.77551 43.14286 44.55102 0.6460670000000001
36.77551 37.57143 3.71429 5.12245 0.966759
36.77551 37.57143 34.69388 36.10204 0.114525
36.77551 37.57143 40.32653 41.73469 0.983003
37.57143 38.36735 23.42857 24.83673 0.6952659999999999
37.57143 38.36735 40.32653 41.73469 0.898017
38.36735 39.16327 38.91837 40.32653 0.820728
38.36735 39.16327 43.14286 44.55102 0.869806
39.16327 39.95918 38.91837 40.32653 0.24930700000000006
39.16327 39.95918 40.32653 41.73469 0.781513
39.16327 39.95918 43.14286 44.55102 0.969529
39.95918 40.7551 22.02041 23.42857 0.549724
40.7551 41.55102 27.65306 29.06122 0.975069
40.7551 41.55102 29.06122 30.46939 0.337017
41.55102 42.34694 7.93878 9.34694 0.792244
41.55102 42.34694 12.16327 13.57143 0.683333
41.55102 42.34694 43.14286 44.55102 0.811634
41.55102 42.34694 44.55102 45.95918 0.960784
41.55102 42.34694 47.36735 48.77551 0.8461540000000001
42.34694 43.14286 7.93878 9.34694 0.0939227
42.34694 43.14286 9.34694 10.7551 0.98615
42.34694 43.14286 40.32653 41.73469 0.977839
42.34694 43.14286 44.55102 45.95918 0.963585
42.34694 43.14286 45.95918 47.36735 0.985251
42.34694 43.14286 47.36735 48.77551 0.691318
43.14286 43.93878 17.795920000000006 19.20408 0.363889
43.14286 43.93878 41.73469 43.14286 0.7937850000000001
43.14286 43.93878 43.14286 44.55102 0.6698109999999999
43.14286 43.93878 44.55102 45.95918 0.689531
43.14286 43.93878 45.95918 47.36735 0.6819569999999999
43.93878 44.73469 41.73469 43.14286 0.97479
43.93878 44.73469 45.95918 47.36735 0.731092
44.73469 45.53061 7.93878 9.34694 0.8444440000000001
48.71429000000001 49.5102 2.30612 3.71429 0.988669
49.5102 50.30612 13.57143 14.97959 0.5414359999999999
50.30612 51.10204 30.46939 31.87755 0.8337950000000001
51.89796 52.69388000000001 3.71429 5.12245 0.661111
51.89796 52.69388000000001 5.12245 6.53061 0.714681
51.89796 52.69388000000001 12.16327 13.57143 0.932203
52.69388000000001 53.4898 48.77551 50.18367 0.961219
53.4898 54.28571 -7.5510199999999985 -6.14286 0.977401
54.28571 55.08163 -7.5510199999999985 -6.14286 0.729345
54.28571 55.08163 -6.14286 -4.7346900000000005 0.651235
55.08163 55.87755 37.5102 38.91837 0.8794120000000001
59.85714 60.65306 9.34694 10.7551 0.160221
