loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
models/133model,42.346940000000004,43.14286,43.14286,44.55102,VAR,VAR,20,0.7092350000000001,0.5,0.99446,7
models/133model,42.346940000000004,43.14286,43.14286,44.55102,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.668565,-1.0,0.6215470000000001,7
models/133model,42.346940000000004,43.14286,43.14286,44.55102,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.5554439999999999,-1.0,0.9806090000000001,7
models/133model,42.346940000000004,43.14286,43.14286,44.55102,ALL,VAR,20,0.497566,-1.0,0.883657,7
models/255model,33.591840000000005,34.38776,6.53061,7.93878,VAR,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/255model,33.591840000000005,34.38776,6.53061,7.93878,Bombing_Explosion-Facility_Infrastructure_Attack,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/255model,33.591840000000005,34.38776,6.53061,7.93878,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/255model,33.591840000000005,34.38776,6.53061,7.93878,ALL,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/506model,38.36735,39.163270000000004,40.32653,41.73469,VAR,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.671966,-1.0,0.576177,7
models/506model,38.36735,39.163270000000004,40.32653,41.73469,Bombing_Explosion-Facility_Infrastructure_Attack,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.44588999999999995,-1.0,0.808864,7
models/506model,38.36735,39.163270000000004,40.32653,41.73469,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.42148800000000003,-1.0,-1.0,7
models/506model,38.36735,39.163270000000004,40.32653,41.73469,ALL,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.45759799999999995,-1.0,0.808864,7
models/152model,43.93878,44.73469,10.7551,12.163269999999999,VAR,VAR,20,0.9999950000000001,1.0,0.0,7
models/152model,43.93878,44.73469,10.7551,12.163269999999999,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.9999950000000001,1.0,0.0,7
models/152model,43.93878,44.73469,10.7551,12.163269999999999,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.9999950000000001,1.0,0.0,7
models/152model,43.93878,44.73469,10.7551,12.163269999999999,ALL,VAR,20,0.9999950000000001,1.0,0.0,7
models/225model,55.081630000000004,55.87755,-7.551019999999999,-6.14286,VAR,VAR,20,0.9999950000000001,1.0,0.0,7
models/225model,55.081630000000004,55.87755,-7.551019999999999,-6.14286,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.9999950000000001,1.0,0.0,7
models/225model,55.081630000000004,55.87755,-7.551019999999999,-6.14286,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.9999950000000001,1.0,0.0,7
models/225model,55.081630000000004,55.87755,-7.551019999999999,-6.14286,ALL,VAR,20,0.9999950000000001,1.0,0.0,7
models/533model,43.93878,44.73469,10.7551,12.163269999999999,VAR,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/533model,43.93878,44.73469,10.7551,12.163269999999999,Bombing_Explosion-Facility_Infrastructure_Attack,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/533model,43.93878,44.73469,10.7551,12.163269999999999,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/533model,43.93878,44.73469,10.7551,12.163269999999999,ALL,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,20,0.9999950000000001,1.0,0.0,7
models/180model,47.12245,47.91837,38.91837,40.32653,VAR,VAR,20,0.9999950000000001,1.0,0.0,7
models/180model,47.12245,47.91837,38.91837,40.32653,Bombing_Explosion-Facility_Infrastructure_Attack,VAR,20,0.9999950000000001,1.0,0.0,7
models/180model,47.12245,47.91837,38.91837,40.32653,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,VAR,20,0.9999950000000001,1.0,0.0,7
models/180model,47.12245,47.91837,38.91837,40.32653,ALL,VAR,20,0.9999950000000001,1.0,0.0,7
models/441model,57.469390000000004,58.26531,33.285709999999995,34.69388,VAR,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/441model,57.469390000000004,58.26531,33.285709999999995,34.69388,Bombing_Explosion-Facility_Infrastructure_Attack,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/441model,57.469390000000004,58.26531,33.285709999999995,34.69388,Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/441model,57.469390000000004,58.26531,33.285709999999995,34.69388,ALL,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/390model,45.530609999999996,46.32653,13.57143,14.97959,VAR,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
models/390model,45.530609999999996,46.32653,13.57143,14.97959,Bombing_Explosion-Facility_Infrastructure_Attack,Bombing_Explosion-Facility_Infrastructure_Attack,20,0.9999950000000001,1.0,0.0,7
