,x,xdot
1e-06,-2e-07,-0.2
6e-06,-1.2e-06,-0.2
3.1e-05,-6.2e-06,-0.2
0.000156,-3.12e-05,-0.2
0.000781,-0.00015619999999999997,-0.199998
0.003906,-0.00078113,-0.199944
0.019531,-0.00389679,-0.198547
0.09765599999999999,-0.018345300000000002,-0.163641
0.215929,-0.030572500000000002,-0.027329700000000002
0.344031,-0.019524200000000002,0.21325100000000002
0.478897,0.0301186,0.529316
0.6282220000000001,0.136222,0.886689
0.7804260000000001,0.294798,1.1781700000000002
0.93263,0.487418,1.3237700000000001
1.0621200000000002,0.6587390000000001,1.29789
1.1916200000000001,0.817229,1.12621
1.32111,0.9447040000000001,0.82294
1.4506,1.02609,0.42134099999999997
1.58736,1.0513,-0.056853999999999995
1.74462,0.9994200000000001,-0.5929399999999999
1.8896400000000002,0.882713,-0.996064
2.03467,0.717675,-1.25179
2.1797,0.5283100000000001,-1.32894
2.3247299999999997,0.340852,-1.22838
2.46975,0.179076,-0.982574
2.61478,0.0601024,-0.6493260000000001
2.76532,-0.010146299999999999,-0.28820500000000004
2.9170700000000003,-0.0299293,0.010220700000000001
3.06882,-0.013798699999999999,0.17613800000000002
3.2004,0.011300200000000002,0.183258
3.33198,0.028728399999999998,0.061183
3.4635599999999998,0.0226005,-0.169714
3.59761,-0.0201914,-0.476601
3.7434800000000004,-0.115651,-0.8294459999999999
3.9014699999999998,-0.27334200000000003,-1.14852
4.03872,-0.443454,-1.308
4.17596,-0.625474,-1.31761
4.3132,-0.7975760000000001,-1.1633
4.45044,-0.937809,-0.857424
4.587680000000001,-1.02765,-0.43692700000000007
4.7249300000000005,-1.05502,0.042628
4.8811599999999995,-1.00584,0.577494
5.02683,-0.890423,0.9868469999999999
5.17251,-0.725527,1.24891
5.31818,-0.535346,1.33121
5.46385,-0.346466,1.23383
5.60952,-0.183075,0.989101
5.75519,-0.0626506,0.655246
5.90555,0.00844639,0.294584
6.05754,0.0291469,-0.00499131
6.20953,0.013690899999999999,-0.172127
6.34112,-0.0109413,-0.180126
6.47272,-0.0280161,-0.058888800000000005
6.6043199999999995,-0.0216321,0.171337
6.73833,0.021327099999999998,0.477675
6.884110000000001,0.11684000000000001,0.8301149999999999
7.042339999999999,0.274937,1.14991
7.17963,0.44531899999999996,1.30977
7.31692,0.627668,1.31975
7.4542,0.800138,1.1656799999999998
7.591489999999999,0.9407479999999999,0.85982
7.72877,1.03093,0.439054
7.866060000000001,1.05857,-0.0410414
8.02218,1.00965,-0.5762520000000001
8.16793,0.894274,-0.9867540000000001
8.31367,0.729223,-1.24995
8.45942,0.538719,-1.33323
8.60516,0.349393,-1.23658
8.750910000000001,0.18548399999999998,-0.992275
8.89665,0.0645197,-0.658609
9.04698,-0.00709147,-0.29823099999999997
9.199010000000001,-0.028352099999999995,0.00135936
