,x,xdot
1e-06,4.16666e-19,1.2500000000000001e-12
6e-06,8.999969999999999e-17,4.49998e-11
3.1e-05,1.24127e-14,1.20123e-09
0.000156,1.58172e-12,3.0416799999999996e-08
0.000781,1.9841400000000002e-10,7.62054e-07
0.003906,2.4782000000000003e-08,1.90214e-05
0.019531,3.07409e-06,0.000470647
0.09765599999999999,0.000369466,0.0111634
0.219764,0.00395711,0.051991300000000004
0.35316,0.0153285,0.122227
0.492447,0.0386242,0.214794
0.63797,0.07767239999999999,0.32310700000000003
0.7915449999999999,0.136351,0.44094399999999995
0.956728,0.219344,0.562232
1.14221,0.335027,0.681325
1.34574,0.484433,0.780528
1.52224,0.627343,0.8332940000000001
1.6987400000000001,0.776544,0.8513790000000001
1.87525,0.925741,0.833131
2.03047,1.05185,0.787062
2.1857,1.16868,0.713951
2.34092,1.27219,0.615671
2.49615,1.35865,0.49483599999999994
2.65137,1.4248100000000001,0.354696
2.8065900000000004,1.46796,0.199025
2.96182,1.48601,0.0320094
3.1170400000000003,1.4775399999999999,-0.141876
3.2739700000000003,1.44131,-0.31990999999999997
3.43557,1.37495,-0.5005109999999999
3.60439,1.27508,-0.680636
3.7848300000000004,1.13604,-0.85719
3.9882400000000002,0.9436760000000001,-1.02872
4.19166,0.720025,-1.16355
4.39507,0.47323000000000004,-1.25538
4.56201,0.25986,-1.2954299999999999
4.72895,0.0425792,-1.30206
4.89588,-0.172977,-1.27478
5.062819999999999,-0.381175,-1.2140799999999998
5.22976,-0.576546,-1.12141
5.3967,-0.753937,-0.9991399999999999
5.56363,-0.9086639999999999,-0.8504780000000001
5.730569999999999,-1.03664,-0.679388
5.89751,-1.1345,-0.49047700000000005
6.06445,-1.19969,-0.288865
6.23139,-1.23055,-0.08004030000000001
6.39832,-1.22633,0.13029300000000002
6.56526,-1.18728,0.336379
6.7322,-1.11457,0.532566
6.9104,-1.00222,0.724997
7.10942,-0.838774,0.911969
7.31745,-0.632041,1.06829
7.4986,-0.42905600000000005,1.1667
7.67974,-0.211691,1.22664
7.86088,0.012891899999999998,1.2461799999999998
8.01728,0.20692800000000003,1.23007
8.17367,0.396075,1.1837799999999998
8.33007,0.5756939999999999,1.10848
8.486469999999999,0.741383,1.00601
8.64286,0.8890819999999999,0.8788940000000001
8.79926,1.0151700000000001,0.730238
8.95566,1.11656,0.563685
9.11205,1.19077,0.383309
9.26845,1.23597,0.193522
9.42485,1.25105,-0.00103613
9.58124,1.23564,-0.19561099999999998
9.74279,1.18811,-0.39155999999999996
9.91198,1.10523,-0.585806
10.0935,0.981334,-0.775511
10.3003,0.801211,-0.9602870000000001
10.4997,0.595106,-1.0998299999999999
10.6992,0.365438,-1.19579
10.8653,0.162665,-1.23967
11.0314,-0.0445733,-1.24942
11.1976,-0.25057199999999996,-1.22478
11.3637,-0.44966000000000006,-1.16642
11.5298,-0.636356,-1.07595
11.696,-0.805521,-0.9558530000000001
11.8621,-0.952498,-0.809445
12.0282,-1.07324,-0.640752
12.1944,-1.16442,-0.45441899999999996
12.3605,-1.22354,-0.255576
12.5266,-1.24895,-0.0496995
12.6928,-1.23997,0.15754300000000002
12.8589,-1.19685,0.36044499999999996
13.0273,-1.1195,0.555963
13.2066,-1.00244,0.7466550000000001
13.4078,-0.8329979999999999,0.931945
13.613,-0.625588,1.08216
13.7932,-0.421554,1.17675
13.9733,-0.203873,1.23324
14.1535,0.0204086,1.2498200000000002
14.3097,0.21459499999999998,1.23143
14.4659,0.40355599999999997,1.18306
14.6221,0.5826899999999999,1.10588
14.7783,0.747637,1.00177
14.9345,0.894379,0.8732620000000001
15.0907,1.01934,0.723494
15.2469,1.1194899999999999,0.556108
15.4031,1.1923700000000002,0.375181
15.5593,1.23622,0.185118
15.7155,1.24997,-0.00945342
15.8717,1.23328,-0.203794
16.0335,1.18435,-0.39979000000000003
16.2031,1.09986,-0.593985
16.3854,0.9739540000000001,-0.7835300000000001
16.5942,0.790447,-0.968348
16.7919,0.584766,-1.10479
16.9897,0.356285,-1.19815
17.1556,0.153621,-1.24053
17.3214,-0.053257500000000006,-1.2488700000000001
17.4872,-0.258675,-1.22294
17.653,-0.456995,-1.16347
17.8189,-0.642777,-1.07207
17.9847,-0.810925,-0.951263
18.1505,-0.956824,-0.8043560000000001
18.3163,-1.07647,-0.6353810000000001
18.4822,-1.16659,-0.44897299999999996
18.648,-1.22469,-0.250248
18.8138,-1.2492,-0.044657199999999994
18.9797,-1.2394399999999999,0.162159
19.1455,-1.19567,0.364526
19.314,-1.11758,0.559924
19.4936,-0.9996280000000001,0.750495
19.6955,-0.828823,0.935709
19.8999,-0.62162,1.0844799999999999
20.0797,-0.41758100000000004,1.17819
20.2596,-0.200069,1.2338799999999999
20.4395,0.0238977,1.24977
20.5956,0.21796,1.23085
20.7518,0.40671999999999997,1.18198
20.9079,0.585583,1.10435
21.0641,0.7501979999999999,0.9998520000000001
21.2202,0.896559,0.871024
21.3763,1.02111,0.721002
21.5325,1.12081,0.553437
21.6886,1.1932399999999999,0.372406
21.8448,1.23663,0.182314
22.0009,1.24994,-0.0122147
22.1571,1.2328299999999999,-0.206446
22.3189,1.18345,-0.40242
22.4887,1.09846,-0.596568
