,x,xdot
1e-06,-2e-07,-0.2
6e-06,-1.2e-06,-0.2
3.1e-05,-6.2e-06,-0.2
0.000156,-3.12e-05,-0.2
0.000781,-0.00015619899999999999,-0.199998
0.003906,-0.000781125,-0.199942
0.019531,-0.00389668,-0.198536
0.09765599999999999,-0.0183425,-0.16358599999999998
0.215927,-0.0305606,-0.027242400000000003
0.344032,-0.0195018,0.21330900000000003
0.478921,0.0301519,0.529277
0.6283310000000001,0.136303,0.8865190000000001
0.780432,0.294694,1.1773200000000001
0.932533,0.487012,1.3224200000000002
1.0621399999999999,0.658293,1.29626
1.19175,0.816688,1.12421
1.32136,0.94399,0.820524
1.45096,1.02511,0.418522
1.5878,1.04993,-0.059868899999999996
1.7450700000000001,0.9976,-0.595594
1.8899099999999998,0.8807440000000001,-0.997613
2.03474,0.7157720000000001,-1.2523799999999998
2.17958,0.526626,-1.32884
2.32441,0.339458,-1.22794
2.46925,0.177964,-0.9820979999999999
2.61409,0.059211,-0.648935
2.76459,-0.010931200000000002,-0.287401
2.91634,-0.0305421,0.011714
3.06809,-0.014126300000000001,0.178403
3.19965,0.0113112,0.186191
3.3312199999999996,0.029164699999999998,0.0647403
3.4627800000000004,0.0235407,-0.165651
3.59679,-0.01867,-0.472185
3.74261,-0.11343099999999999,-0.824886
3.9007199999999997,-0.270565,-1.14457
4.03805,-0.44029399999999996,-1.3047
4.17539,-0.622033,-1.3149899999999999
4.31273,-0.793938,-1.16133
4.45006,-0.9340370000000001,-0.856024
4.5874,-1.02378,-0.435946
4.72473,-1.05105,0.0433476
4.8808300000000004,-1.00189,0.577203
5.02641,-0.886625,0.985986
5.172000000000001,-0.721984,1.24765
5.31758,-0.532122,1.32966
5.46316,-0.343598,1.23207
5.60875,-0.180576,0.9871260000000001
5.75433,-0.060531299999999996,0.652981
5.90463,0.0101587,0.291738
6.05664,0.030358299999999998,-0.00879866
6.20866,0.014244,-0.176945
6.34023,-0.0110722,-0.18575999999999998
6.47181,-0.028934699999999997,-0.06524880000000001
6.6033800000000005,-0.0234263,0.164443
6.73735,0.018569299999999997,0.47046800000000005
6.883030000000001,0.11296300000000001,0.822893
7.041460000000001,0.27019699999999996,1.14382
7.17886,0.439949,1.30473
7.31625,0.621827,1.31582
7.45365,0.793968,1.1628100000000001
7.59104,0.9343629999999999,0.8579
7.728439999999999,1.02441,0.4379
7.8658399999999995,1.05195,-0.041616
8.02181,1.00311,-0.575399
8.16747,0.887985,-0.9850030000000001
8.313139999999999,0.7233350000000001,-1.24749
8.4588,0.533339,-1.33019
8.604460000000001,0.3446,-1.2330299999999998
8.75013,0.181334,-0.9882489999999999
8.89579,0.061060800000000005,-0.6540590000000001
9.04607,-0.00978882,-0.292903
9.19811,-0.0301615,0.00774388
9.35016,-0.014194899999999998,0.176015
9.48173,0.0110054,0.184922
