,gamma,gamma_dot
0.16750418592964825,0.0,0.0
0.3350083718592965,0.0,0.0
0.5025125577889448,0.335439,0.67451
0.670016743718593,0.593152,0.48172600000000004
0.8375209296482412,0.33316,0.35370799999999997
1.0050251155778895,0.20672800000000002,0.17132999999999998
1.1725293015075378,0.10076,0.0404342
1.340033487437186,0.0,0.0
1.5075376733668342,0.0,0.0
1.6750418592964824,0.0,0.0
1.8425460452261306,0.0,0.0
2.010050231155779,0.0,0.0
2.1775544170854273,0.0,0.0
2.3450586030150755,0.0,0.0
2.5125627889447237,0.0,0.0
2.680066974874372,0.0,0.0
2.84757116080402,0.0,0.145799
3.0150753467336684,0.0,0.0
3.1825795326633166,0.0,0.0
3.350083718592965,0.564653,0.0
3.517587904522613,0.7374390000000001,0.0
3.6850920904522613,0.6751119999999999,0.38455900000000004
3.8525962763819095,0.600862,0.202693
4.020100462311558,0.30280999999999997,0.25100700000000004
4.187604648241206,0.09564160000000001,0.136708
4.355108834170855,0.0,0.013330600000000001
4.522613020100502,0.00617701,0.00036321300000000003
4.690117206030151,0.0,0.0
4.857621391959799,0.0,0.0
5.0251255778894475,0.0,0.0
5.192629763819095,0.0,0.0
5.360133949748744,0.0,0.0
5.527638135678393,0.0,0.0
5.69514232160804,0.0,0.0
5.862646507537689,0.0,0.177399
6.030150693467337,0.19997,0.0
6.1976548793969855,0.0,0.0
6.365159065326633,0.0,0.0
6.532663251256282,0.536402,0.0
6.70016743718593,0.0,0.672696
6.867671623115578,0.339319,0.335109
7.035175809045226,0.26104,0.35349200000000003
7.202679994974875,0.0813265,0.174059
7.3701841809045225,0.0619518,0.06853989999999999
7.537688366834171,0.014487200000000002,0.0
7.705192552763819,0.00113297,7.98592e-05
7.872696738693468,0.0,0.0
8.040200924623116,0.0,0.0
8.207705110552764,0.0,0.0
8.375209296482412,0.0,0.0
8.542713482412061,0.0,0.0
8.71021766834171,0.0,0.0
8.877721854271357,0.0,0.0
9.045226040201005,0.0,0.146368
9.212730226130654,0.0,0.0
9.380234412060302,0.0,0.0
9.54773859798995,0.5878939999999999,0.0
9.715242783919598,0.7234649999999999,0.0
9.882746969849247,0.664456,0.383885
10.050251155778895,0.58978,0.204293
10.217755341708543,0.288881,0.180893
10.38525952763819,0.09320360000000001,0.06103340000000001
10.55276371356784,0.028095599999999995,0.029056
10.720267899497488,0.00597104,0.00263713
10.887772085427136,0.0,0.0
11.055276271356785,0.0,0.0
11.222780457286433,0.0,0.0
11.39028464321608,0.0,0.0
11.557788829145728,0.0,0.0
11.725293015075378,0.0,0.0
11.892797201005026,0.0,0.0
12.060301386934674,0.0,0.177439
12.227805572864321,0.198959,0.0
12.395309758793971,0.0,0.0
12.562813944723619,0.0,0.0
12.730318130653266,0.534391,0.0
12.897822316582914,0.0,0.671806
13.065326502512564,0.337354,0.334378
13.232830688442212,0.219507,0.33369299999999996
13.40033487437186,0.052370400000000004,0.173292
13.567839060301509,0.06900160000000001,0.055616099999999995
13.735343246231157,0.014790000000000001,0.013868
13.902847432160804,0.00130421,0.0
14.070351618090452,0.0,0.0
14.237855804020102,0.0,0.0
14.40535998994975,0.0,0.0
14.572864175879397,0.0,0.0
14.740368361809045,0.0,0.0
14.907872547738695,0.0,0.0
15.075376733668342,0.0,0.0
15.24288091959799,0.0,0.146481
15.410385105527638,0.0,0.0
15.577889291457288,0.0,0.0
15.745393477386935,0.5845899999999999,0.0
15.912897663316583,0.46728100000000006,0.0
16.080401849246233,0.6407430000000001,0.383583
16.24790603517588,0.460883,0.203928
16.415410221105528,0.290168,0.24806
16.582914407035176,0.09302189999999999,0.062011500000000004
16.750418592964824,0.0,0.0
16.91792277889447,0.0066533,0.0
17.085426964824123,0.0,0.0
17.25293115075377,0.0,0.0
17.42043533668342,0.0,0.0
17.587939522613066,0.0,0.0
17.755443708542714,0.0,0.0
17.92294789447236,0.0,0.0
18.09045208040201,0.0,0.0
18.257956266331657,0.0,0.177485
18.42546045226131,0.196627,0.0
18.592964638190956,0.0,0.0
18.760468824120604,0.0,0.0
18.927973010050252,0.532537,0.0
19.0954771959799,0.0,0.6691189999999999
19.262981381909547,0.337108,0.503663
19.430485567839195,0.218764,0.353646
19.597989753768847,0.15978599999999998,0.171771
19.765493939698494,0.0909227,0.0
19.932998125628142,0.019374799999999998,0.0
20.10050231155779,0.0,0.0
20.268006497487438,0.0,0.0
20.435510683417085,0.0,0.0
20.603014869346733,0.0,0.0
20.77051905527638,0.0,0.0
20.938023241206032,0.0,0.0
21.10552742713568,0.0,0.0
21.273031613065328,0.0,0.0
21.440535798994976,0.0,0.14726
21.608039984924623,0.0,0.0
21.77554417085427,0.0,0.802481
