,x,xdot
1e-06,-2e-07,-0.2
6e-06,-1.2e-06,-0.200001
3.1e-05,-6.20005e-06,-0.200003
0.000156,-3.12012e-05,-0.200016
0.000781,-0.00015623,-0.200076
0.003906,-0.000781887,-0.20033199999999998
0.019531,-0.00391575,-0.20049
0.09765599999999999,-0.0188112,-0.172957
0.220067,-0.032780000000000004,-0.0370075
0.35068699999999997,-0.0220768,0.217358
0.487015,0.030611700000000002,0.56553
0.630504,0.140281,0.9623120000000001
0.788678,0.324206,1.34544
0.9171590000000001,0.5112720000000001,1.5446799999999998
1.04564,0.714581,1.59172
1.15275,0.8810100000000001,1.49481
1.25986,1.03043,1.27607
1.36697,1.15075,0.9564729999999999
1.47933,1.23591,0.551295
1.59491,1.27407,0.108715
1.73652,1.25254,-0.40181100000000003
1.87812,1.16468,-0.8199360000000001
2.01972,1.0264,-1.11011
2.16744,0.849374,-1.26025
2.31697,0.659453,-1.25463
2.4665,0.48108,-1.11104
2.61603,0.331949,-0.872568
2.772,0.21788400000000002,-0.591163
2.9557700000000002,0.135527,-0.32705300000000004
3.09945,0.0961452,-0.24346199999999998
3.2431200000000002,0.05856889999999999,-0.305058
3.38679,0.00131255,-0.515437
3.5304699999999998,-0.0954181,-0.8476090000000001
3.67414,-0.24548299999999998,-1.24661
3.8178099999999997,-0.453092,-1.63385
3.94515,-0.678754,-1.8904599999999998
4.05278,-0.8887729999999999,-1.9907700000000002
4.16041,-1.10219,-1.94954
4.26804,-1.30288,-1.7544
4.3756699999999995,-1.4748299999999999,-1.42038
4.4833099999999995,-1.6050799999999998,-0.987735
4.59094,-1.68582,-0.509496
4.69975,-1.71498,-0.0310565
4.819459999999999,-1.68956,0.44388199999999994
4.93918,-1.61202,0.836208
5.0589,-1.49318,1.13278
5.17862,-1.34476,1.33009
5.31959,-1.1481299999999999,1.4374799999999999
5.44391,-0.969102,1.42718
5.568230000000001,-0.796821,1.33174
5.6948300000000005,-0.6379640000000001,1.16905
5.837680000000001,-0.486687,0.946253
6.0126599999999994,-0.343995,0.697025
6.1708,-0.245146,0.575665
6.328930000000001,-0.153544,0.6121270000000001
6.4673099999999994,-0.058061699999999994,0.790319
6.605689999999999,0.0708687,1.09089
6.74407,0.24761999999999998,1.4723
6.882439999999999,0.478941,1.8659400000000002
7.00595,0.7280909999999999,2.1516
7.106139999999999,0.9511799999999999,2.2829900000000003
7.20632,1.18119,2.2844599999999997
7.30651,1.40384,2.13464
7.406689999999999,1.60396,1.8375400000000002
7.506880000000001,1.76814,1.42444
7.61522,1.8946900000000002,0.9044260000000001
7.723560000000001,1.96367,0.371666
7.83189,1.9766,-0.123525
7.932739999999999,1.94337,-0.524571
8.03359,1.8731099999999998,-0.857024
8.13444,1.7729099999999998,-1.11834
8.23757,1.6469200000000002,-1.31316
8.35588,1.4825700000000002,-1.44992
8.483830000000001,1.29284,-1.4992299999999998
8.61179,1.1028799999999999,-1.45545
8.73974,0.9236840000000001,-1.3343399999999999
8.8677,0.763671,-1.16051
9.0153,0.608789,-0.938893
9.21035,0.450028,-0.711377
9.36283,0.347072,-0.6631
9.515310000000001,0.23970100000000003,-0.773255
9.66778,0.10285899999999999,-1.04748
9.820260000000001,-0.0864711,-1.45295
9.97274,-0.34323400000000004,-1.9161599999999999
10.1252,-0.667868,-2.32006
10.2231,-0.903689,-2.47788
10.3211,-1.149,-2.50789
10.419,-1.3897899999999999,-2.38274
10.5169,-1.61051,-2.1000799999999997
10.6149,-1.79685,-1.68755
10.7152,-1.9412900000000002,-1.18261
10.8155,-2.0334,-0.65425
10.9159,-2.07348,-0.15216400000000002
11.0225,-2.06397,0.317727
11.1151,-2.01818,0.659956
11.2078,-1.94367,0.937643
11.3004,-1.84637,1.15215
11.3997,-1.7233599999999998,1.3150600000000001
11.5134,-1.56697,1.4214799999999999
11.6371,-1.38875,1.4470100000000001
11.7622,-1.21059,1.3876899999999999
11.8873,-1.04439,1.25908
12.0152,-0.894382,1.0813
12.1647,-0.749442,0.860266
12.3574,-0.606023,0.652027
12.5092,-0.511092,0.623153
12.661,-0.40863299999999997,0.754745
12.8129,-0.27353099999999997,1.05095
12.9647,-0.0827031,1.48071
13.0982,0.14388499999999999,1.9164900000000002
