,gamma,gamma_dot
0.1295336774611399,0.0,0.846802
0.2590673549222798,0.0,0.6113810000000001
0.3886010323834197,0.661385,0.478702
0.5181347098445596,0.531458,0.354003
0.6476683873056994,0.224491,0.249209
0.7772020647668394,0.0600709,0.0586837
0.9067357422279793,0.0168548,0.0
1.0362694196891191,0.0,0.0
1.165803097150259,0.0,0.0
1.2953367746113988,0.0,0.0
1.4248704520725388,0.0,0.0
1.5544041295336788,0.0,0.0
1.6839378069948185,0.0,0.0
1.8134714844559585,0.0,0.0
1.9430051619170983,0.611591,0.0
2.0725388393782382,0.0,0.0
2.202072516839378,0.0,0.0
2.331606194300518,0.7006140000000001,0.7726069999999999
2.4611398717616577,0.5696869999999999,0.626858
2.5906735492227977,0.45019499999999996,0.413484
2.7202072266839377,0.224954,0.24868200000000001
2.8497409041450776,0.0630339,0.0978973
2.9792745816062176,0.0157566,0.0174527
3.1088082590673576,0.0,0.0
3.238341936528497,0.0,0.0
3.367875613989637,0.0,0.0
3.497409291450777,0.0,0.0
3.626942968911917,0.0,0.0
3.756476646373057,0.0,0.0
3.8860103238341965,0.0,0.0
4.0155440012953365,0.606082,0.0
4.1450776787564765,0.286682,0.0
4.2746113562176165,0.0,0.915132
4.404145033678756,0.67765,0.516255
4.533678711139896,0.603457,0.478487
4.663212388601036,0.425486,0.353229
4.792746066062176,0.470782,0.248995
4.922279743523315,0.0630515,0.0984904
5.051813420984455,0.0144482,0.0
5.181347098445595,0.0,0.0
5.310880775906735,0.0,0.0
5.440414453367875,0.0,0.0
5.569948130829015,0.0,0.0
5.699481808290155,0.0,0.0
5.829015485751295,0.0,0.0
5.958549163212435,0.0,0.0
6.088082840673575,0.610179,0.0
6.217616518134715,0.0,0.0
6.347150195595854,0.6161260000000001,0.0
6.476683873056994,0.6828930000000001,0.77173
6.606217550518134,0.6063310000000001,0.626071
6.735751227979274,0.548541,0.412779
6.865284905440414,0.47384499999999996,0.24830700000000003
6.994818582901554,0.0545836,0.0581367
7.124352260362694,0.014633799999999999,0.017674000000000002
7.253885937823834,0.0,0.0
7.383419615284974,0.0,0.0
7.512953292746114,0.0,0.0
7.642486970207253,0.0,0.0
7.772020647668393,0.0,0.0
7.901554325129533,0.0,0.0
