,x,xdot
1e-06,6.04e-10,0.000608
6e-06,3.744e-09,0.000648
3.1e-05,2.2444000000000002e-08,0.000848
0.000156,1.90944e-07,0.001848
0.000781,2.90844e-06,0.00684799
0.003906,6.337069999999999e-05,0.0318478
0.019531,0.00153748,0.156832
0.09765599999999999,0.0381649,0.7802140000000001
0.195923,0.153015,1.55466
0.294191,0.34287199999999995,2.30265
0.392458,0.603228,2.97657
0.44823900000000005,0.778148,3.2813800000000004
0.494701,0.935006,3.4558199999999997
0.5352640000000001,1.07683,3.5212199999999996
0.5758260000000001,1.2192,3.4782599999999997
0.6092529999999999,1.33348,3.3426
0.64268,1.4415,3.10265
0.6721630000000001,1.52871,2.7979
0.701647,1.60562,2.40482
0.7311300000000001,1.6696900000000001,1.9281700000000002
0.760613,1.7186,1.3790799999999999
0.7862100000000001,1.7472900000000002,0.8568870000000001
0.811808,1.7622400000000003,0.307615
0.837405,1.76295,-0.252189
0.8630030000000001,1.74938,-0.80521
0.8886,1.72193,-1.33471
0.9141969999999999,1.6813799999999999,-1.82578
0.939795,1.62889,-2.26635
0.965392,1.56586,-2.6478
0.9909899999999999,1.4938799999999999,-2.96521
1.01741,1.41195,-3.22419
1.04483,1.32069,-3.42107
1.0735,1.22054,-3.55409
1.1037299999999999,1.11189,-3.62261
1.13594,0.9949819999999999,-3.62684
1.17066,0.869916,-3.5674099999999997
1.2086700000000001,0.736484,-3.4448199999999995
1.25116,0.59392,-3.25818
1.30023,0.440179,-3.00227
1.3607200000000002,0.26892699999999997,-2.65663
1.4489299999999998,0.0575933,-2.1343
1.5371299999999999,-0.10764100000000001,-1.6134
1.62883,-0.23103800000000002,-1.07901
1.73596,-0.313666,-0.46612600000000004
1.8549,-0.329871,0.187063
1.95487,-0.285323,0.696934
2.05483,-0.19214,1.1588100000000001
2.1548,-0.0553745,1.5687799999999998
2.2547599999999997,0.119774,1.92639
2.3458799999999997,0.308174,2.19913
2.41854,0.474286,2.36331
2.48029,0.623093,2.4449099999999997
2.53464,0.756502,2.45269
2.5889900000000003,0.888235,2.3797099999999998
2.63415,0.9928899999999999,2.24286
2.6793099999999996,1.08959,2.0263
2.7244599999999997,1.17461,1.72468
2.7629099999999998,1.2349,1.4017600000000001
2.80136,1.28169,1.024
2.83981,1.3130700000000002,0.601979
2.87826,1.3276,0.150489
2.9167,1.32449,-0.312852
2.95515,1.3036299999999998,-0.769504
2.9936,1.26563,-1.20214
3.03205,1.21169,-1.59655
3.07049,1.1434799999999998,-1.94291
3.10894,1.06297,-2.23635
3.14739,0.972196,-2.47668
3.18641,0.8716370000000001,-2.67005
3.2274,0.7588239999999999,-2.8258
3.27122,0.632153,-2.94937
3.3189599999999997,0.488882,-3.04795
3.37246,0.32348000000000005,-3.1317
3.4354400000000003,0.12358599999999999,-3.2155400000000003
3.51718,-0.14362,-3.3231
3.60644,-0.44529799999999997,-3.4309199999999995
3.6662199999999996,-0.651668,-3.4638
3.7149699999999997,-0.8200629999999999,-3.43486
3.75775,-0.96531,-3.34331
3.80053,-1.10491,-3.16724
3.83649,-1.21494,-2.93908
3.87245,-1.3153,-2.6282799999999997
3.90841,-1.40293,-2.2313400000000003
3.9394400000000003,-1.46597,-1.82215
3.9704599999999997,-1.51545,-1.35861
4.00149,-1.54985,-0.8526020000000001
4.03252,-1.56808,-0.319957
4.06355,-1.56962,0.22076500000000002
4.0945800000000006,-1.5545,0.750013
4.12561,-1.52339,1.2491299999999999
4.15664,-1.47746,1.70209
4.18767,-1.41836,2.09674
4.2187,-1.34802,2.42549
4.2497300000000005,-1.26855,2.68525
4.28076,-1.18208,2.877
4.31306,-1.08685,3.0088
4.3470699999999995,-0.983123,3.08059
4.38325,-0.8712549999999999,3.0924099999999997
4.422219999999999,-0.751494,3.0445599999999997
4.46483,-0.623901,2.93682
4.51234,-0.488209,2.76715
4.56694,-0.343483,2.52855
4.63318,-0.186703,2.19917
4.73313,0.00613244,1.6510599999999998
4.833080000000001,0.141843,1.05751
4.9330300000000005,0.216198,0.424221
5.0422,0.22307800000000003,-0.30316
5.18056,0.115558,-1.2544
5.2716199999999995,-0.0274779,-1.88773
5.35438,-0.20754699999999998,-2.46267
5.43715,-0.434644,-3.0189999999999997
5.519909999999999,-0.705303,-3.5011699999999997
5.56773,-0.877827,-3.7000900000000003
5.6089,-1.0323,-3.7898199999999997
5.6500699999999995,-1.18838,-3.7724800000000003
5.683269999999999,-1.31203,-3.65836
5.716480000000001,-1.43016,-3.4376900000000004
5.7455099999999995,-1.526,-3.1480799999999998
5.77455,-1.61206,-2.7645
5.80359,-1.6856400000000002,-2.28919
5.8292,-1.73815,-1.8007400000000002
5.85481,-1.7774299999999998,-1.25851
5.8804300000000005,-1.8022900000000002,-0.67718
5.90604,-1.81194,-0.07446169999999999
5.93165,-1.80608,0.530173
5.957269999999999,-1.78493,1.11707
5.982880000000001,-1.7491700000000001,1.6680000000000001
6.00849,-1.69992,2.16751
6.03411,-1.63867,2.60393
6.0597199999999996,-1.56713,2.96985
