,gamma,gamma_dot
0.14124293644067798,0.65885,0.191923
0.28248587288135596,0.0,0.0
0.42372880932203394,0.162603,0.0
0.5649717457627119,0.0,0.0
0.7062146822033899,0.248135,0.49976000000000004
0.8474576186440679,0.217104,0.0
0.9887005550847459,0.0,0.38777
1.1299434915254238,0.0,0.253386
1.2711864279661018,0.00609302,0.208328
1.4124293644067798,0.0,0.14663800000000002
1.5536723008474578,0.0,0.0
1.6949152372881358,0.0,0.194152
1.8361581737288137,0.0,0.474437
1.9774011101694917,0.0,0.452981
2.1186440466101697,0.0,0.35216
2.2598869830508477,0.0,0.0
2.4011299194915257,0.0,0.17934
2.5423728559322036,0.0744148,0.0
2.6836157923728816,0.0,0.0
2.8248587288135596,0.652863,0.0
2.9661016652542376,0.14363599999999999,0.0
3.1073446016949156,0.0007040610000000001,0.0
3.2485875381355935,0.250411,0.0
3.3898304745762715,0.0,0.190883
3.5310734110169495,0.12547,0.0
3.6723163474576275,0.0,0.041294199999999996
3.8135592838983055,0.232436,0.48668199999999995
3.9548022203389834,0.183187,0.0
4.096045156779661,0.029431,0.431015
4.237288093220339,0.0326411,0.0
4.378531029661017,0.0,0.151829
4.519773966101695,0.0,0.0455088
4.661016902542373,0.0,0.588955
4.802259838983051,0.0,0.159114
4.943502775423729,0.0,0.514796
5.084745711864407,0.0,0.373396
5.225988648305085,0.0,0.32626
5.367231584745763,0.0,0.0
5.508474521186441,0.0,0.0
5.649717457627119,0.0725064,0.0
5.790960394067797,0.22256399999999998,0.0
5.932203330508475,0.49604,0.0
6.073446266949153,0.8990959999999999,0.338171
6.214689203389831,0.8653270000000001,0.883804
6.355932139830509,0.307813,0.0
6.497175076271187,0.14668699999999998,0.0
6.638418012711865,0.0,0.0
6.779660949152543,0.0,0.0
6.920903885593221,0.310741,0.48561400000000005
7.062146822033899,0.274752,0.573477
7.203389758474577,0.124905,0.364123
7.344632694915255,0.0317811,0.253259
7.485875631355933,0.00530474,0.147695
7.627118567796611,0.0,0.0504259
7.768361504237289,0.0,0.0
7.909604440677967,0.0,0.373677
8.050847377118645,0.0,0.0
8.192090313559323,0.0,0.432446
8.33333325,0.0,0.366139
8.474576186440679,0.0,0.0
8.615819122881357,0.0,0.178051
8.757062059322035,0.109133,0.0
8.898304995762713,0.07076310000000001,0.0
9.03954793220339,0.568749,0.127931
9.180790868644069,0.8821959999999999,0.8880809999999999
9.322033805084747,0.8522780000000001,0.8818299999999999
9.463276741525425,0.6239210000000001,0.0
9.604519677966103,0.449351,0.105397
9.74576261440678,0.0,0.0
9.887005550847459,0.0,0.041935900000000005
10.028248487288137,0.308276,0.48898800000000003
10.169491423728815,0.20655300000000001,0.526524
10.310734360169493,0.126674,0.410103
10.45197729661017,0.0,0.0679648
10.593220233050848,0.00898967,0.20204
10.734463169491526,0.0,0.0492994
10.875706105932204,0.0,0.0
11.016949042372882,0.0,0.0
11.15819197881356,0.0,0.0
11.299434915254238,0.0,0.367218
11.440677851694916,0.0,0.586634
11.581920788135594,0.0,0.0
11.723163724576272,0.0,0.179348
11.86440666101695,0.233254,0.0
12.005649597457628,0.07453660000000001,0.0
12.146892533898306,0.6513979999999999,0.128775
12.288135470338984,0.8657540000000001,0.90448
12.429378406779662,0.8377530000000001,0.8709450000000001
12.57062134322034,0.457129,0.0
12.711864279661018,0.45048699999999997,0.194733
12.853107216101696,0.0,0.0
12.994350152542374,0.274834,0.0388835
13.135593088983052,0.306296,0.487845
13.27683602542373,0.303545,0.5109
13.418078961864408,0.0921389,0.384326
13.559321898305086,0.04511230000000001,0.260812
13.700564834745764,0.004141,0.200413
13.841807771186442,0.0,0.08391269999999999
13.98305070762712,0.0,0.0
14.124293644067798,0.0,0.025645099999999997
14.265536580508476,0.0,0.30542800000000003
14.406779516949154,0.0,0.432777
14.548022453389832,0.0,0.383469
14.68926538983051,0.0,0.0
14.830508326271188,0.0,0.179033
14.971751262711866,0.243269,0.00228924
15.112994199152544,0.218998,0.0
15.254237135593222,0.440488,0.122547
15.3954800720339,0.8336030000000001,0.89691
15.536723008474578,0.229129,0.873606
15.677965944915256,0.34424899999999997,0.0
15.819208881355934,0.44217799999999996,0.10544100000000001
15.960451817796612,0.0,0.0
16.10169475423729,0.0,0.0
16.24293769067797,0.230179,0.487588
16.384180627118646,0.202505,0.508803
16.525423563559322,0.0900202,0.381522
16.6666665,0.0542492,0.0
16.80790943644068,0.0,0.19841099999999998
16.949152372881358,2.17941e-08,0.133792
17.090395309322034,0.0,0.0
17.231638245762714,0.0,0.132529
17.372881182203393,0.0,0.295715
17.51412411864407,0.0,0.6666340000000001
17.655367055084746,0.0,0.59804
17.796609991525425,0.0363875,0.0
17.937852927966105,0.035055800000000005,0.18071199999999998
18.07909586440678,0.23991300000000002,0.00226523
18.220338800847458,0.120716,0.0
18.361581737288137,0.440499,0.0
18.502824673728817,0.0,0.8866950000000001
18.644067610169493,0.0,0.8506459999999999
18.78531054661017,0.23602800000000002,0.0
18.92655348305085,0.44370600000000004,0.147307
19.06779641949153,0.368314,0.0229678
19.209039355932205,0.310325,0.0
19.35028229237288,0.294149,0.485968
19.49152522881356,0.288472,0.5483319999999999
19.63276816525424,0.0707571,0.39537
19.774011101694917,0.0315459,0.0
19.915254038135593,0.0064088999999999995,0.196468
20.056496974576273,0.0,0.0
20.197739911016953,0.0,0.0
20.33898284745763,0.0,0.0290659
20.480225783898305,0.0,0.0
20.621468720338985,0.0,0.436421
20.762711656779665,0.0,0.400856
20.90395459322034,0.0,0.244069
21.045197529661017,0.0,0.180558
21.186440466101697,0.24126199999999998,0.0
21.327683402542377,0.0802972,0.0
21.468926338983053,0.514651,0.269862
21.61016927542373,0.0,0.865783
21.75141221186441,0.0,0.840894
21.89265514830509,0.32825,0.514971
22.033898084745765,0.433954,0.218273
22.17514102118644,0.0,0.023609599999999998
22.31638395762712,0.160278,0.0
22.4576268940678,0.224592,0.4844
22.598869830508477,0.199679,0.0
22.740112766949153,0.08498960000000001,0.253446
22.881355703389833,0.0325923,0.24210900000000002
23.022598639830512,0.00481738,0.19378399999999998
23.16384157627119,0.0,0.232988
23.305084512711865,0.0,0.0
23.446327449152545,0.0,0.13685999999999998
23.587570385593224,0.0,0.0
23.7288133220339,0.0,0.380695
23.870056258474577,0.0,0.376429
24.011299194915257,0.0,0.248666
24.152542131355936,0.171067,0.182953
24.293785067796613,0.23761500000000002,0.00221211
24.43502800423729,0.627988,0.0
24.57627094067797,0.5075930000000001,0.11111199999999999
24.71751387711865,0.0,0.868609
24.858756813559324,0.0,0.830053
24.99999975,0.42533999999999994,0.541557
25.14124268644068,0.430623,0.0598092
25.28248562288136,0.319321,0.023355400000000002
25.423728559322036,0.25633,0.0
25.564971495762713,0.274549,0.47247799999999995
25.706214432203392,0.273131,0.516163
25.847457368644072,0.102424,0.251806
25.98870030508475,0.0299137,0.245052
26.129943241525424,0.0,0.150928
26.271186177966104,0.0,0.0
26.412429114406784,0.0,0.0
26.55367205084746,0.0,0.30342800000000003
26.694914987288136,0.0,0.32424200000000003
26.836157923728816,0.0,0.621266
26.977400860169496,0.0,0.377985
27.118643796610172,0.0,0.253641
27.25988673305085,0.166519,0.182838
27.401129669491528,0.235569,0.00218003
27.542372605932208,0.078473,0.0
27.683615542372884,0.504904,0.105796
27.82485847881356,0.0,0.8557879999999999
27.96610141525424,0.0,0.833693
28.10734435169492,0.320714,0.30958800000000003
28.248587288135596,0.42446999999999996,0.0572525
28.389830224576272,0.126391,0.0240555
28.531073161016952,0.0,0.0
28.67231609745763,0.255741,0.47307899999999997
28.813559033898308,0.191917,0.0
28.954801970338984,0.0976395,0.091388
29.096044906779664,0.0289545,0.24388600000000002
29.237287843220344,0.0,0.15475899999999998
29.37853077966102,0.0,0.20289200000000002
29.519773716101696,0.0,0.0
29.661016652542376,0.0,0.395188
29.802259588983055,0.0,0.0
29.94350252542373,0.0,0.5620609999999999
30.084745461864408,0.0,0.362084
30.225988398305088,0.129367,0.256867
30.367231334745767,0.16350399999999998,0.0
30.508474271186444,0.231292,0.00292549
30.64971720762712,0.539029,0.0
30.7909601440678,0.13788499999999998,0.0433232
30.93220308050848,0.0,0.8264100000000001
31.073446016949156,0.0,0.8086840000000001
31.21468895338983,0.45278100000000004,0.316739
31.35593188983051,0.23954099999999998,0.060499000000000004
31.49717482627119,0.310874,0.0
31.638417762711867,0.220885,0.0
31.779660699152544,0.26634800000000003,0.47441300000000003
31.920903635593223,0.26213000000000003,0.500119
32.0621465720339,0.0998613,0.0847685
32.20338950847458,0.028074900000000003,0.24561999999999998
32.344632444915256,0.0,0.136062
32.48587538135594,0.0,0.0
32.627118317796615,0.0,0.0
32.76836125423729,0.0,0.0
32.90960419067797,0.0,0.0
33.050847127118644,0.0,0.148426
33.19209006355933,0.0,0.37449499999999997
33.333333,0.0,0.0
33.47457593644068,0.161556,0.129936
33.61581887288136,0.22894099999999998,0.0
33.75706180932204,0.18937400000000001,0.0
33.898304745762715,0.136018,0.0412355
34.03954768220339,0.0,0.807109
34.18079061864407,0.0,0.7978430000000001
34.32203355508475,0.450928,0.188031
34.46327649152543,0.413567,0.0
34.6045194279661,0.304973,0.0
34.74576236440679,0.21536,0.0
34.88700530084746,0.14231,0.0728131
35.02824823728814,0.183194,0.392314
35.169491173728815,0.0891202,0.173121
35.31073411016949,0.0,0.07032469999999999
35.451977046610175,0.00483455,0.0
35.59321998305085,0.0,0.0
35.73446291949153,0.0,0.0
35.87570585593221,0.0,0.0
36.01694879237289,0.0,0.0
36.15819172881356,0.0,0.39150300000000005
36.29943466525424,0.0,0.381415
36.440677601694915,0.0,0.510283
36.5819205381356,0.157996,0.0531935
36.723163474576275,0.22436,0.00207844
36.86440641101695,0.527803,0.0
37.005649347457634,0.13409000000000001,0.0389649
37.14689228389831,0.0,0.796157
37.28813522033899,0.0,0.786572
37.42937815677966,0.359067,0.30752199999999996
37.57062109322034,0.404078,0.10703800000000001
37.71186402966102,0.300966,0.0
37.8531069661017,0.0,0.0
37.994349902542375,0.255929,0.287945
38.13559283898306,0.178572,0.388542
38.276835775423734,0.0865781,0.183539
38.41807871186441,0.0245488,0.145202
38.55932164830509,0.000290692,0.13255899999999998
38.70056458474576,0.0,0.029328399999999998
38.841807521186446,0.0,0.00440838
38.98305045762712,0.0,0.033701300000000003
39.1242933940678,0.0,0.0740237
39.26553633050848,0.0,0.37928
39.40677926694916,0.0,0.146251
39.548022203389834,0.0,0.27829699999999996
39.68926513983051,0.155709,0.0
39.83050807627119,0.22112600000000002,0.0
39.97175101271187,0.183196,0.0
40.112993949152546,0.131864,0.036687300000000006
40.25423688559322,0.0,0.785326
40.395479822033906,0.0,0.774877
40.53672275847458,0.43766499999999997,0.350602
40.67796569491526,0.229485,0.177708
40.819208631355934,0.293984,0.0355017
40.96045156779661,0.0,0.0
41.101694504237294,0.228135,0.49746599999999996
41.24293744067797,0.193392,0.309297
41.384180377118646,0.0,0.177547
41.52542331355933,0.02289,0.304087
41.666666250000006,0.0,0.16222999999999999
41.80790918644068,0.0,0.0
41.94915212288136,0.0,0.0
42.090395059322034,0.0,0.0
42.23163799576272,0.0,0.0756039
42.372880932203394,0.0,0.167712
42.51412386864407,0.0,0.28106
42.65536680508475,0.0327279,0.26274699999999995
42.79660974152543,0.151448,0.16927799999999998
42.937852677966106,0.21564699999999998,0.012830100000000002
43.07909561440678,0.513888,0.0
43.22033855084746,0.368051,0.154807
43.36158148728814,0.0,0.334181
43.50282442372882,0.0,0.763416
43.644067360169494,0.395872,0.496032
43.78531029661018,0.390192,0.272365
43.92655323305085,0.28918499999999997,0.0
44.06779616949153,0.0,0.0
44.209039105932206,0.246575,0.368454
44.35028204237288,0.14819000000000002,0.0
44.491524978813565,0.049616,0.19126500000000002
44.63276791525424,0.0249478,0.145135
44.77401085169492,0.0,0.0
44.9152537881356,0.0,0.0306414
45.05649672457628,0.0,0.00471291
45.19773966101695,0.0,0.0
45.33898259745763,0.0,0.0
45.480225533898306,0.0,0.41211000000000003
45.62146847033899,0.0,0.284567
45.762711406779665,0.0314699,0.304288
45.90395434322034,0.148721,0.17616300000000001
46.045197279661025,0.211779,0.0
46.1864402161017,0.18354,0.0
46.32768315254238,0.126862,0.07484160000000001
46.46892608898305,0.0,0.7631
46.61016902542373,0.0,0.751839
46.75141196186441,0.38864699999999996,0.5828220000000001
46.89265489830509,0.219462,0.30138899999999996
47.033897834745765,0.280801,0.028234500000000003
47.17514077118645,0.0,0.0
47.316383707627125,0.218533,0.369263
47.4576266440678,0.18212,0.279308
47.59886958050848,0.0403228,0.182345
47.740112516949154,0.0135157,0.332367
47.88135545338984,0.0033539999999999998,0.16706400000000002
48.02259838983051,0.0,0.033768400000000004
48.16384132627119,0.0,0.00439159
48.30508426271187,0.0,0.16858900000000002
48.44632719915255,0.0,0.0
48.587570135593225,0.0,0.164253
48.7288130720339,0.0,0.395123
48.87005600847458,0.0307868,0.0
49.01129894491526,0.145643,0.179317
49.15254188135594,0.204305,0.0
49.29378481779661,0.49755900000000003,0.0
49.4350277542373,0.35357,0.0749309
49.57627069067797,0.0,0.317764
49.71751362711865,0.0,0.742479
49.858756563559325,0.378635,0.518258
49.9999995,0.373537,0.301748
50.141242436440685,0.274946,0.05558919999999999
50.28248537288136,0.0,0.0
50.42372830932204,0.233487,0.360537
50.56497124576272,0.139766,0.0
50.7062141822034,0.0,0.344956
50.84745711864407,0.0232006,0.137988
50.98870005508475,0.0,0.0
51.129942991525425,0.0,0.0308056
51.27118592796611,0.00389036,0.00600612
51.412428864406785,0.0,0.0
51.55367180084746,0.0,0.0
51.694914737288144,0.0,0.409455
51.83615767372882,0.00939567,0.405289
51.9774006101695,0.0294086,0.528949
52.11864354661017,0.140225,0.11343099999999999
52.25988648305085,0.19833499999999998,0.00755363
52.40112941949153,0.175446,0.0
52.54237235593221,0.0,0.026350799999999997
52.683615292372885,0.0,0.7459140000000001
