,x,xdot
1e-06,6.04e-10,0.000608
6e-06,3.744e-09,0.000648
3.1e-05,2.2444000000000002e-08,0.000848
0.000156,1.90944e-07,0.001848
0.000781,2.90844e-06,0.00684797
0.003906,6.337e-05,0.0318473
0.019531,0.0015374,0.15682000000000001
0.09765599999999999,0.038154900000000005,0.779909
0.196097,0.153204,1.55479
0.294537,0.343401,2.30249
0.392978,0.6041489999999999,2.97516
0.448615,0.778469,3.2774900000000002
0.495036,0.934975,3.4504300000000003
0.535586,1.07651,3.5147800000000005
0.576136,1.21856,3.4710900000000002
0.609572,1.3326200000000001,3.33511
0.643008,1.4404299999999999,3.09519
0.672509,1.52747,2.79071
0.70201,1.60422,2.39823
0.731511,1.66815,1.9225599999999998
0.761013,1.7169400000000001,1.37481
0.78664,1.74557,0.85375
0.812267,1.76047,0.305805
0.8378950000000001,1.7611599999999998,-0.252508
0.8635219999999999,1.7475900000000002,-0.803916
0.88915,1.72016,-1.33172
0.9147770000000001,1.67966,-1.82108
0.9404040000000001,1.62725,-2.25996
0.966032,1.56433,-2.63979
0.9916590000000001,1.4925,-2.95567
1.01814,1.41068,-3.21338
1.04561,1.3195299999999999,-3.4090199999999995
1.07435,1.21951,-3.5408
1.10465,1.1110200000000001,-3.60806
1.13694,0.994295,-3.61098
1.1717600000000001,0.86945,-3.55018
1.20989,0.7362890000000001,-3.42611
1.25253,0.594069,-3.2378099999999996
1.3018,0.440774,-2.97992
1.36259,0.27010500000000004,-2.63159
1.45108,0.0604141,-2.10656
1.53957,-0.10281099999999999,-1.58356
1.63179,-0.224017,-1.0467600000000001
1.74042,-0.30394499999999997,-0.427784
1.86263,-0.315128,0.237398
1.96344,-0.265262,0.744337
2.06425,-0.166713,1.20213
2.16506,-0.0246477,1.60755
2.26587,0.155615,1.95927
2.3507,0.33260500000000004,2.2047
2.42188,0.495345,2.35758
2.48264,0.641108,2.4293099999999996
2.5434,0.7889729999999999,2.42237
2.59166,0.9042459999999999,2.34238
2.63992,1.01376,2.18135
2.68195,1.1011600000000001,1.96662
2.72397,1.17802,1.67891
2.76599,1.24127,1.3203
2.80802,1.28811,0.899259
2.84422,1.31348,0.497846
2.88041,1.32388,0.0740274
2.91661,1.31875,-0.357442
2.95281,1.29809,-0.7813720000000001
2.98901,1.26244,-1.1836799999999998
3.02521,1.2128,-1.55273
3.0614,1.1505299999999998,-1.88028
3.0976,1.07723,-2.16189
3.13475,0.9923059999999999,-2.40232
3.1733700000000002,0.895497,-2.60292
3.21398,0.786346,-2.76592
3.25723,0.663767,-2.89552
3.3041,0.525509,-2.9981299999999997
3.3562,0.36700000000000005,-3.08299
3.4166,0.178325,-3.1634599999999997
3.49261,-0.0658232,-3.26052
3.58216,-0.362914,-3.37278
3.6502199999999996,-0.594615,-3.4264300000000003
3.70165,-0.770787,-3.41497
3.74615,-0.921409,-3.3420199999999998
3.79066,-1.06702,-3.18582
3.8275,-1.1808100000000001,-2.97712
3.86435,-1.2854,-2.68545
3.9012,-1.37763,-2.30558
3.9327099999999997,-1.44425,-1.9119099999999998
3.96423,-1.49753,-1.46115
3.99574,-1.53586,-0.964276
4.02726,-1.55799,-0.43660699999999997
4.05877,-1.56324,0.103403
4.09029,-1.55155,0.635857
4.1218,-1.52345,1.1413799999999998
4.15331,-1.48007,1.6029799999999998
4.184830000000001,-1.4230200000000002,2.00745
4.21634,-1.3542399999999999,2.3462
4.24786,-1.27587,2.61538
4.27937,-1.19012,2.81537
4.31176,-1.0965200000000002,2.95282
4.34578,-0.994567,3.03015
4.3819300000000005,-0.884542,3.04753
4.4208,-0.766732,3.00516
4.46321,-0.641278,2.90283
4.51037,-0.508062,2.7387
4.56431,-0.366438,2.50653
4.62907,-0.21425100000000002,2.18748
4.71966,-0.038041900000000003,1.6954900000000002
4.81548,0.09782539999999999,1.13401
4.9113,0.178136,0.536691
5.01888,0.198207,-0.168718
5.1561,0.111371,-1.10103
5.24881,-0.0203243,-1.7405400000000002
5.3333,-0.19203599999999998,-2.3237799999999997
5.4177800000000005,-0.412546,-2.8910299999999998
5.50226,-0.678683,-3.39059
5.55197,-0.8529370000000001,-3.6077
5.59435,-1.0084,-3.7128300000000003
5.6367400000000005,-1.16618,-3.7116800000000003
5.67063,-1.29054,-3.61151
5.70452,-1.4097600000000001,-3.4053400000000003
5.734030000000001,-1.50643,-3.12948
5.76355,-1.5935700000000002,-2.75959
5.793069999999999,-1.6684299999999999,-2.2973
5.81902,-1.722,-1.8210099999999998
5.84497,-1.76247,-1.2900200000000002
5.87093,-1.7886099999999998,-0.718673
5.89688,-1.79958,-0.12447799999999999
5.92283,-1.7950400000000002,0.473175
5.94879,-1.7751599999999998,1.0545799999999999
5.97474,-1.7406,1.60133
6.0006900000000005,-1.69248,2.09776
6.02664,-1.63225,2.53192
6.0526,-1.56166,2.89613
6.07855,-1.48256,3.18695
6.10493,-1.39542,3.40775
6.13235,-1.2997100000000001,3.56132
6.16115,-1.19575,3.64669
6.19168,-1.08398,3.66313
